frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,1.046845261782872285e+02,4.782868829040015868e+01,3.073660994607309033e-03,-1.663566879101440747e+02,2.790625046854371405e-01,0.000000000000000000e+00,1.424680635271484164e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.625961141864117394e+02,5.791344448646654541e+01,-7.342630178394407049e-03,4.043768837329475900e+02,1.147528178010123190e-01,0.000000000000000000e+00,6.223674929953518564e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.287142476703840543e+02,1.438323976651715554e+02,-2.927919433380072895e-03,1.582307367848529793e+02,4.057283551325510107e-01,0.000000000000000000e+00,5.233215771385518522e+00,1.000000000000000000e+00
1.100000000000000000e+01,6.724063779653316431e+01,4.102201822455946001e+01,-9.605639436970649786e-03,5.305529894122331598e+02,1.399889707829761187e-01,0.000000000000000000e+00,1.220770267276957455e+01,1.000000000000000000e+00
1.100000000000000000e+01,8.912477841967347558e+01,1.434988921296354079e+02,-6.412436558538538861e-03,3.525131063151862918e+02,1.256527874443695847e-01,0.000000000000000000e+00,2.119763591466861286e+01,0.000000000000000000e+00
1.100000000000000000e+01,6.761838693303839420e+01,6.683488883982845152e+01,-2.258008085663633022e-03,1.208792302963635450e+02,3.618939583109032077e-01,0.000000000000000000e+00,1.220304870163322519e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.012677501647892342e+01,1.465997549720640052e+02,3.261768263268346752e-03,-1.768447769533808582e+02,3.413279251680650939e-01,0.000000000000000000e+00,3.735607529985612629e+00,1.000000000000000000e+00
1.200000000000000000e+01,9.322074189042098169e+01,1.078289435111288697e+02,2.183625718978268217e-03,-1.167319749000366897e+02,3.220696464065537779e-01,0.000000000000000000e+00,1.154549392006405562e+01,1.000000000000000000e+00
1.300000000000000000e+01,3.212052550142281859e+01,1.570043491776616520e+02,-9.661126014033757578e-03,5.336466931541707481e+02,6.904062811862199389e-02,0.000000000000000000e+00,2.075145600719195471e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.351661934364780393e+02,2.734237746002204617e+01,3.195900700475200196e-03,-1.731722720653302474e+02,3.208750996432825353e-01,0.000000000000000000e+00,1.199149608833898384e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.658172855151023839e+01,5.122451268063011298e+01,1.881360777550304631e-03,-9.987892268727090084e+01,3.946052029072675271e-01,0.000000000000000000e+00,1.679904914186220211e+01,1.000000000000000000e+00
1.400000000000000000e+01,2.141872088044425766e+02,4.176112684930694741e+01,-8.221901753540943394e-03,4.534014569935450254e+02,7.658804988509027023e-02,0.000000000000000000e+00,1.428511557341848537e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.796441557082154930e+02,6.403015534799031627e+01,-1.713137982212182458e-03,9.049951024262108490e+01,3.927538528304261867e-01,0.000000000000000000e+00,9.958891070241568499e+00,1.000000000000000000e+00
1.400000000000000000e+01,8.360764982411303947e+01,7.144524585107093628e+01,3.219061881875854084e-03,-1.744636444541045819e+02,3.083154838405245401e-01,0.000000000000000000e+00,8.358885239996022065e+00,1.000000000000000000e+00
1.400000000000000000e+01,1.490279756220928107e+02,1.315585765805170126e+02,-4.039277754267064577e-03,2.201955141768877411e+02,2.539314664570578861e-01,0.000000000000000000e+00,9.770735178854847547e+00,1.000000000000000000e+00
1.500000000000000000e+01,2.117879818358195365e+01,7.838835610820660804e+01,-2.130373916555850650e-02,1.182791004792582271e+03,2.769802133656495968e-02,0.000000000000000000e+00,2.755008963615194517e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.916108424691250320e+02,6.172980990093189035e+01,2.656148717117015612e-03,-1.430779173760112144e+02,2.834655616401741129e-01,0.000000000000000000e+00,1.218577782538029375e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.867855252202106726e+02,3.891251681111926786e+01,-5.637452919380774898e-03,3.093032002206757056e+02,1.222853094458473677e-01,0.000000000000000000e+00,5.173966932355960502e+00,1.000000000000000000e+00
1.600000000000000000e+01,3.815937777435780731e+01,1.155560216166154106e+02,-2.922674258115850413e-03,1.579382873457104779e+02,3.417764225260320199e-01,0.000000000000000000e+00,1.162777537057155897e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.128678181180577695e+02,1.184680878211758284e+02,2.662595567558468344e-03,-1.434373672896678045e+02,2.687899601451766429e-01,0.000000000000000000e+00,1.140470736453753808e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.654124654471180804e+02,1.531497389890166971e+02,-2.085771817705068306e-03,1.112760430953450879e+02,4.003888251835912016e-01,0.000000000000000000e+00,1.820843717878256740e+01,1.000000000000000000e+00
1.700000000000000000e+01,2.209500891530143178e+02,1.149150303702716513e+02,3.818446929090634368e-03,-2.078828939659411503e+02,1.645509381475203092e-01,0.000000000000000000e+00,1.982130255844719713e+01,1.000000000000000000e+00
1.700000000000000000e+01,2.709364363070788428e+01,3.812078445395972182e+01,2.684085978658182822e-03,-1.446355843856574381e+02,3.570148772079655419e-01,0.000000000000000000e+00,6.536614172833888681e+00,1.000000000000000000e+00
