frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,1.309773037499504085e+02,1.386013413898454019e+02,-1.557892126823581282e-02,8.635986615576694021e+02,4.824812392252619819e-02,0.000000000000000000e+00,1.912164738650821150e+01,1.000000000000000000e+00
1.300000000000000000e+01,3.738301430339434717e+01,3.055461208999114575e+01,-7.317706058125708450e-03,4.029872171104764220e+02,1.002996432640671509e-01,0.000000000000000000e+00,2.224308791277285025e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.866058227380283370e+02,1.967642947801434161e+01,-9.008382185329849232e-03,4.972523770461303343e+02,6.293557478984157516e-02,0.000000000000000000e+00,3.756122762189878728e+01,1.000000000000000000e+00
1.400000000000000000e+01,2.671231671141049802e+01,1.103817868642655675e+01,-8.208117907496823365e-03,4.526329263264526048e+02,7.077593180277830243e-02,0.000000000000000000e+00,1.387216864286318163e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.792108455150262358e+01,9.146108632519892012e+01,-3.878290854065253365e-03,2.112195455387284824e+02,2.240800251905554763e-01,0.000000000000000000e+00,6.646214653259688632e+00,1.000000000000000000e+00
1.400000000000000000e+01,9.292749698513721057e+01,7.052045775022095064e+00,-2.557014621088262232e-03,1.375506071674732311e+02,2.516935039373104921e-01,0.000000000000000000e+00,6.031218931337139821e+01,1.000000000000000000e+00
1.500000000000000000e+01,2.176906727935948709e+02,4.076144589932731321e+01,-7.910424434927164697e-03,4.360347604494758116e+02,7.134884989860557081e-02,0.000000000000000000e+00,3.756122762189878728e+01,1.000000000000000000e+00
1.500000000000000000e+01,6.439281224946125803e+01,8.994817197842351675e+01,-2.923185270662281669e-03,1.579667793073838880e+02,3.685393209664085123e-01,0.000000000000000000e+00,6.646214653259688632e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.525916652491514469e+02,1.478620596890607430e+02,-7.366187603453386822e-03,4.056903490413678242e+02,1.073334789250603993e-01,0.000000000000000000e+00,1.947852460904958605e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.311305683958673995e+01,1.011640602377035520e+02,-1.586002594673681723e-02,8.792719043811652000e+02,3.787532639923640865e-02,0.000000000000000000e+00,3.969742099878572361e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.334496381715817108e+02,1.514670174290262707e+02,-8.075042506204293050e-03,4.452131882793517548e+02,8.250958193827218068e-02,0.000000000000000000e+00,1.947852460904958605e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.091319840890199089e+01,8.903828062175479374e+01,-7.566998109296096606e-03,4.168867184378684101e+02,1.000850904104033656e-01,0.000000000000000000e+00,1.351028836004388900e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.564329254371547506e+02,1.185285865225639128e+02,-5.024601909361195787e-03,2.751331439061305559e+02,1.321751421974038943e-01,0.000000000000000000e+00,2.958391332872527002e+01,1.000000000000000000e+00
2.000000000000000000e+01,9.754573995002935760e+01,1.422695178786158010e+02,-7.086675720259630329e-03,3.901059139451278384e+02,9.963297825659911400e-02,0.000000000000000000e+00,3.287398012219852461e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.097251168419591494e+01,1.398678680322594232e+02,-7.610736565190268609e-03,4.193253951742702270e+02,8.337308949093036325e-02,0.000000000000000000e+00,2.544604599214252616e+01,1.000000000000000000e+00
2.400000000000000000e+01,8.478441671594337947e+01,5.868284200127288841e+01,-7.389679858521307557e-03,4.070001807386360611e+02,8.855287492634222879e-02,0.000000000000000000e+00,2.948134427014399606e+01,1.000000000000000000e+00
2.400000000000000000e+01,9.267065935054577608e+01,9.844338484014613755e+01,-5.505600139841538773e-03,3.019516305431760088e+02,1.215862051244388509e-01,0.000000000000000000e+00,2.329929028464605878e+01,1.000000000000000000e+00
2.400000000000000000e+01,2.075063967281922430e+02,7.312599180271494959e+01,2.437562536089898056e-03,-1.308904493076476570e+02,2.958154352914263985e-01,0.000000000000000000e+00,4.566055356036503809e+01,1.000000000000000000e+00
2.600000000000000000e+01,2.050459465464712423e+02,1.119908866725702801e+01,-1.391711278676452043e-02,7.709430430345821605e+02,6.059129692579745541e-02,0.000000000000000000e+00,2.103387350448133830e+01,1.000000000000000000e+00
2.700000000000000000e+01,2.271565717697955620e+02,1.593512997469400005e+01,-7.700684794955316159e-03,4.243405391916834333e+02,1.097676856510574339e-01,0.000000000000000000e+00,1.449473698655286391e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.155299708834711083e+02,8.217893785853435418e+01,-9.284084498298117785e-03,5.126244061464415154e+02,8.497959449250935826e-02,0.000000000000000000e+00,2.805495249286645532e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.898395997581970818e+01,9.708067188230593558e+01,-8.107286848935992690e-03,4.470110004538515227e+02,7.977576484082249397e-02,0.000000000000000000e+00,1.570128521796642040e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.609968336817845795e+02,3.483206711388294252e+01,2.548967796246514109e-03,-1.371019492498057275e+02,3.251575135067573674e-01,0.000000000000000000e+00,5.704068811573811182e+00,1.000000000000000000e+00
2.800000000000000000e+01,1.962877648623159814e+02,1.173869051518191498e+02,-7.719191722648146431e-03,4.253724095013252509e+02,8.763026099579362960e-02,0.000000000000000000e+00,2.803890032108161634e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.009873414130156100e+01,1.227791944638329085e+02,-7.772555776116369525e-03,4.283477700414397873e+02,8.873133227314455862e-02,0.000000000000000000e+00,2.210913146669486906e+01,1.000000000000000000e+00
2.900000000000000000e+01,7.873693467458900841e+01,1.171171162407750899e+02,-1.495109946636398977e-02,8.285938953506690723e+02,4.002892488272846716e-02,0.000000000000000000e+00,6.437673818615257559e+00,1.000000000000000000e+00
3.000000000000000000e+01,1.740017143981369259e+02,1.003718563442601379e+02,-1.559136463897819493e-02,8.642924528251364791e+02,4.953710235244901394e-02,0.000000000000000000e+00,1.955375337322033857e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.696325849199821079e+01,4.536753376085845701e+01,-1.634050289268515824e-02,9.060613263327925324e+02,3.607784769313870932e-02,0.000000000000000000e+00,4.439293212155459400e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.840382763216387616e+02,1.014950478437346248e+01,-1.565276543561631983e-02,8.677159091702858404e+02,5.891205062830173755e-02,0.000000000000000000e+00,2.103387350448133830e+01,1.000000000000000000e+00
3.100000000000000000e+01,8.473197763913157132e+01,1.445226542284849813e+02,-1.366655243273867497e-02,7.569728263468720115e+02,4.841269315489482583e-02,0.000000000000000000e+00,1.671286520329731573e+01,1.000000000000000000e+00
3.200000000000000000e+01,6.203230064983092973e+01,1.124832033830398217e+02,-8.928036660788091217e-03,4.927726404489338279e+02,1.526301154363203239e-01,0.000000000000000000e+00,1.570128521796642040e+01,1.000000000000000000e+00
3.200000000000000000e+01,2.126958707452395458e+02,1.692786669092251373e+01,-7.862128643997856256e-03,4.333419854212397695e+02,9.591213799353470737e-02,0.000000000000000000e+00,1.449473698655286391e+01,1.000000000000000000e+00
3.200000000000000000e+01,7.464448989420816361e+01,4.718392091519272924e+01,-7.247701958467045805e-03,3.990840759089809922e+02,7.161489490799821667e-02,0.000000000000000000e+00,3.916333978428698970e+01,1.000000000000000000e+00
3.300000000000000000e+01,8.557262077084025975e+01,9.444438000672745659e+01,-1.655867223825656723e-02,9.182255533674258459e+02,3.894023022536197143e-02,0.000000000000000000e+00,2.368078488448343677e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.503388335846337753e+01,1.393160406921823267e+02,-7.881093564538288118e-03,4.343993915318158656e+02,6.365364452970223574e-02,0.000000000000000000e+00,1.327494555981875024e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.652655748263159410e+02,3.861548488729287243e+01,-3.238113727281657136e-03,1.755258971383116204e+02,2.195050037741345106e-01,0.000000000000000000e+00,5.704068811573811182e+00,1.000000000000000000e+00
3.300000000000000000e+01,2.186959331387156169e+02,8.605851308917851838e+01,2.446912624851062257e-03,-1.314117718710301972e+02,3.874750507308653003e-01,0.000000000000000000e+00,2.100748005595285051e+01,1.000000000000000000e+00
3.400000000000000000e+01,2.058345886692933675e+02,1.203018778744368404e+02,-1.969747001477042871e-03,1.048069756718130208e+02,3.594661883964038740e-01,0.000000000000000000e+00,2.286844292357506347e+01,1.000000000000000000e+00
3.500000000000000000e+01,2.078300438227496159e+02,3.225855631727731776e+01,-2.485774529071620772e-03,1.335785521063511965e+02,3.316666373310472871e-01,0.000000000000000000e+00,1.608435003533716312e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.592590538887789648e+02,8.752649795741304217e+01,-5.086301578486453721e-03,2.785732641541684984e+02,1.578862040574484649e-01,0.000000000000000000e+00,1.955375337322033857e+01,1.000000000000000000e+00
3.600000000000000000e+01,6.544430636056841877e+01,1.589640020776177778e+02,-7.516308597770071480e-03,4.140604793763618545e+02,7.506660762743855297e-02,0.000000000000000000e+00,2.223554122764544516e+01,1.000000000000000000e+00
3.600000000000000000e+01,2.239842605792646850e+02,1.063894700559027484e+02,-3.122121480610461422e-03,1.690586456595570155e+02,2.417502010738531437e-01,0.000000000000000000e+00,2.100748005595285051e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.518768879812324428e+02,1.409589431641196313e+02,-1.532527234107904091e-02,8.494562387120353151e+02,4.858096561349256604e-02,0.000000000000000000e+00,3.180560423578875628e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.884629466751144093e+02,6.761965328803395892e+01,-1.473282218043575967e-02,8.164236500048787093e+02,5.301471617351849464e-02,0.000000000000000000e+00,7.627975846101485047e+00,1.000000000000000000e+00
4.000000000000000000e+01,3.982942024261426894e+01,1.251542459051158716e+02,5.696405642269669611e-03,-3.125901620239122849e+02,1.139090498246730920e-01,0.000000000000000000e+00,2.128810479774220710e+01,1.000000000000000000e+00
4.000000000000000000e+01,4.857091859003045187e+00,1.565714104909968398e+02,-1.484743479493865793e-02,8.228139788578835123e+02,4.893969471208914346e-02,0.000000000000000000e+00,3.748256592054531922e+01,1.000000000000000000e+00
