frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,8.138208709302210764e+01,2.538010930167246215e+01,-8.881127239022800629e-03,4.877926384261333510e+02,6.191905507241490803e-02,0.000000000000000000e+00,2.768108716265003366e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.667704723647632647e+02,3.937089303416536978e+01,-1.016194653704576359e-02,5.581807939702524664e+02,7.721880176032769327e-02,0.000000000000000000e+00,2.007273101039222496e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.666646889104072216e+01,1.386381902891600930e+02,-7.495389916481631776e-03,4.116386529631737403e+02,9.290343124191768887e-02,0.000000000000000000e+00,2.254169481460793634e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.119507149466235205e+02,1.416318463777744228e+02,-5.873270570636478054e-03,3.224941584956752081e+02,1.251308119177365619e-01,0.000000000000000000e+00,9.689474214214904180e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.732102645215495613e+02,1.194557565774728687e+02,-9.595383316615009248e-03,5.270449888283299060e+02,6.657034280571261231e-02,0.000000000000000000e+00,1.064833277979082560e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.212331614324920963e+02,1.146718442069401078e+01,-5.849745510322391061e-03,3.212013253793029435e+02,9.461949829990679017e-02,0.000000000000000000e+00,1.209793110779737901e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.189236222655637931e+01,2.641630251737329971e+01,-6.101369874101583365e-03,3.350294859041471227e+02,1.719435081528178921e-01,0.000000000000000000e+00,8.894277221582596482e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.327490669564455743e+02,1.152921558614810920e+02,-6.547154955120908053e-03,3.595278594611900189e+02,1.327562868327769596e-01,0.000000000000000000e+00,2.360041318199711213e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.343823544714084335e+02,8.994902322917978665e+01,2.746392975413862805e-03,-1.506548156003243832e+02,2.733002239478788953e-01,0.000000000000000000e+00,1.476954785007315607e+01,1.000000000000000000e+00
1.300000000000000000e+01,2.946084523074406292e+01,2.174444717825103623e+01,-9.444576288018102089e-03,5.187573024994226216e+02,9.836404140570598198e-02,0.000000000000000000e+00,8.894277221582596482e+00,1.000000000000000000e+00
1.300000000000000000e+01,2.335399504508822233e+01,8.138458239157630203e+01,-2.549752851581624843e-03,1.398483453637475407e+02,3.843500623055232657e-01,0.000000000000000000e+00,4.451823462828198963e+00,1.000000000000000000e+00
1.400000000000000000e+01,1.257859171579921735e+02,2.267576829168046970e+01,-7.627784537123435439e-03,4.189144749041176965e+02,1.315628346638918478e-01,0.000000000000000000e+00,1.059422683803494536e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.910159613542456611e+02,5.501754385854186324e+01,5.381735880034135312e-03,-2.954815890326346448e+02,1.692487990965374500e-01,0.000000000000000000e+00,4.854451753441861861e+00,1.000000000000000000e+00
1.400000000000000000e+01,1.335779140714533639e+02,3.043554213354521565e+01,-5.641796916880148331e-03,3.097733917410553204e+02,1.874284478069909721e-01,0.000000000000000000e+00,5.046017715340051168e+00,1.000000000000000000e+00
1.400000000000000000e+01,2.304778147007741040e+01,5.266857527191863397e+01,-2.654585323298745518e-03,1.456094736795756148e+02,3.625756252160550197e-01,0.000000000000000000e+00,1.581241875782859019e+01,1.000000000000000000e+00
1.500000000000000000e+01,2.265766142176502456e+02,1.579548652476898596e+01,-9.946787837672438695e-03,5.463566248454299057e+02,6.429062918200045829e-02,0.000000000000000000e+00,9.028374249914520533e+00,1.000000000000000000e+00
1.500000000000000000e+01,5.181591321319724130e+01,3.418980653024215144e+01,2.424471627151118022e-03,-1.329634441715310231e+02,3.524911225214009125e-01,0.000000000000000000e+00,8.431501934172569435e+00,1.000000000000000000e+00
1.500000000000000000e+01,2.175347150093840582e+02,7.604089688169918304e+01,-9.905960995277008491e-03,5.441129624198711099e+02,9.065015925234187755e-02,0.000000000000000000e+00,6.258910568028674071e+00,1.000000000000000000e+00
1.600000000000000000e+01,1.727264490138235828e+02,1.059660266010340024e+02,-1.039565194424826866e-02,5.710242080092691594e+02,8.053745041601689802e-02,0.000000000000000000e+00,6.466204188083619187e+00,1.000000000000000000e+00
1.600000000000000000e+01,8.284220476585318238e+01,6.650846913520709336e+00,-1.083123332956002077e-02,5.949618316449935946e+02,5.336178229064592049e-02,0.000000000000000000e+00,2.534173787464959915e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.100811564268385609e+02,2.146320890199326925e+01,4.112293331501546204e-03,-2.257186492499824340e+02,2.429987955492255436e-01,0.000000000000000000e+00,1.372379062738661659e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.671063536684223720e+02,8.444518465628803483e+01,-7.119872649157333970e-03,3.910018872127475333e+02,1.092124420077710267e-01,0.000000000000000000e+00,8.521467149163331811e+00,1.000000000000000000e+00
1.700000000000000000e+01,9.305787222631634847e+01,3.813364582015617543e+01,-2.724714841839568583e-03,1.494634813970617131e+02,2.727015899634803731e-01,0.000000000000000000e+00,8.293916449411401715e+00,1.000000000000000000e+00
1.800000000000000000e+01,2.262119899599971973e+02,1.028492939919158999e+02,-6.366628491161210705e-03,3.496069245997001644e+02,1.152515077943155886e-01,0.000000000000000000e+00,2.801631594084968668e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.129382053030019080e+02,8.333756775452945931e+01,-4.113465858303324424e-03,2.257830861295880140e+02,2.629218852505712523e-01,0.000000000000000000e+00,1.564549184426140727e+01,1.000000000000000000e+00
1.800000000000000000e+01,8.346307612154790334e+00,1.195821832003735778e+02,-3.273756382370708075e-03,1.796363726196889274e+02,3.201708654495675210e-01,0.000000000000000000e+00,1.464419362314552764e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.833458582560695902e+02,3.526582739831039959e+01,-3.093876291223567141e-03,1.697509595450272002e+02,2.805142580611943437e-01,0.000000000000000000e+00,2.064712086099155641e+01,1.000000000000000000e+00
1.900000000000000000e+01,7.658603400662421734e+00,8.788804218977061211e+00,-3.672535571374285768e-03,2.015515105526264961e+02,2.834687488740116335e-01,0.000000000000000000e+00,6.195216725131263757e+00,1.000000000000000000e+00
1.900000000000000000e+01,3.457870218542321794e+01,1.821589580213046844e+01,-5.864647499050084853e-03,3.220202726750695774e+02,1.754390973420326683e-01,0.000000000000000000e+00,1.380391971609893886e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.107668875669500608e+01,2.579077253406945047e+01,-6.166257576958718289e-03,3.385954266489958400e+02,1.086310455126409114e-01,0.000000000000000000e+00,8.431501934172569435e+00,1.000000000000000000e+00
1.900000000000000000e+01,1.089826939938485140e+02,1.294270736236081234e+02,-6.799255833033310444e-03,3.733822070921928571e+02,1.455547763232751812e-01,0.000000000000000000e+00,1.413477888171590102e+01,1.000000000000000000e+00
1.900000000000000000e+01,2.131693247668100923e+02,1.349446637869072845e+02,-3.640857666575009546e-03,1.998106332143750876e+02,2.907503788125219701e-01,0.000000000000000000e+00,1.354453136401350477e+01,1.000000000000000000e+00
1.900000000000000000e+01,2.134686763901968902e+02,4.878845516304100727e+01,3.180895577324770011e-03,-1.745331540785451239e+02,2.816255781700147676e-01,0.000000000000000000e+00,1.325263040018604599e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.862571536980992732e+02,9.427577322342958155e+01,2.476735959641506325e-03,-1.358356603931490838e+02,4.009616656292513959e-01,0.000000000000000000e+00,1.683616081984936486e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.483240639651891399e+02,9.323144753535318685e+00,3.100610615144041779e-03,-1.701210481596588977e+02,2.819789878827119178e-01,0.000000000000000000e+00,1.399403264207741415e+01,1.000000000000000000e+00
