frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,1.974551600801295876e+02,2.595805483669702340e+01,-1.196018670566774238e-02,6.570041087735381780e+02,1.309288194878590605e-01,0.000000000000000000e+00,1.169298430210563744e+01,1.000000000000000000e+00
1.000000000000000000e+01,8.150842183089594073e+01,1.019925183992166353e+02,-5.825561989011974681e-03,3.198723061630640814e+02,2.786846440905693667e-01,0.000000000000000000e+00,1.166313151039775775e+01,1.000000000000000000e+00
1.000000000000000000e+01,9.434616676921334033e+01,1.059257033584976000e+02,4.311072903180016014e-03,-2.366426940640282055e+02,3.497311609818514189e-01,0.000000000000000000e+00,1.342675087372995080e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.312703502231184594e+01,1.317246960711137831e+02,-5.280303686418520194e-03,2.899073249405666388e+02,3.085142684885217035e-01,0.000000000000000000e+00,1.321409724393991247e+01,1.000000000000000000e+00
1.100000000000000000e+01,4.718019295811788538e+01,5.923574408832313765e+01,-8.297625372788039466e-03,4.557259603364034888e+02,2.382074128084910036e-01,0.000000000000000000e+00,1.080348888317485212e+01,1.000000000000000000e+00
1.100000000000000000e+01,7.178032930643522036e+01,8.065023699993223261e+01,-8.833294991945132152e-03,4.851639899879621112e+02,1.385654658986783527e-01,0.000000000000000000e+00,1.355192771555258702e+01,1.000000000000000000e+00
1.100000000000000000e+01,4.858853043264557670e+01,8.243890961712200749e+01,-9.689372379135056598e-03,5.322102114029107724e+02,1.208489027148548223e-01,0.000000000000000000e+00,1.242830369829882819e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.938504740460995208e+02,1.223381232432227250e+02,-9.913475796352395203e-03,5.445259426020044202e+02,7.542613303341738629e-02,0.000000000000000000e+00,1.830719249275875526e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.450927666520398418e+02,7.149264196517199821e+01,-9.800456542035073867e-03,5.383149049758167166e+02,1.431856411147175434e-01,0.000000000000000000e+00,8.866779024723083324e+00,1.000000000000000000e+00
1.200000000000000000e+01,2.052735850569173124e+02,8.597018681115638117e+01,-8.345344947398712632e-03,4.583484167948437857e+02,1.918330399292502708e-01,0.000000000000000000e+00,1.338440581737179613e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.003343749626710348e+02,8.908139841176678431e+01,-1.160525516037977552e-02,6.374986431268174556e+02,1.605497916859663921e-01,0.000000000000000000e+00,1.787705922423075933e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.190312896535165699e+01,1.089538430332709993e+02,-9.040992393493643350e-03,4.965781192323232176e+02,1.640192097930567305e-01,0.000000000000000000e+00,1.313049549651261039e+01,1.000000000000000000e+00
1.300000000000000000e+01,8.207753039286957986e+00,9.187370311172168513e+00,-8.919470078868604879e-03,4.898997910738453925e+02,1.261873725404046853e-01,0.000000000000000000e+00,2.667773135726487155e+01,1.000000000000000000e+00
1.300000000000000000e+01,2.078926558593220477e+02,1.429184441814569766e+02,-8.118578375266138902e-03,4.458863303974009114e+02,2.554892781117538147e-01,0.000000000000000000e+00,6.991672165782857995e+00,1.000000000000000000e+00
1.300000000000000000e+01,1.223148003612455597e+02,1.599830372367230780e+02,3.906611999304421268e-03,-2.144153142474883396e+02,3.468746287619568491e-01,0.000000000000000000e+00,2.120589491930138948e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.967156247985572861e+02,7.567923761779105973e+01,-6.609441261479178341e-03,3.629508389767094059e+02,2.682142092772505926e-01,0.000000000000000000e+00,1.338440581737179613e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.308596968047259850e+02,1.373323907683457890e+02,-8.180248571194361981e-03,4.492754512125951010e+02,1.367362536851978172e-01,0.000000000000000000e+00,4.780239799223388708e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.504594556435031905e+02,8.578720984333050126e+01,-9.602404901564824680e-03,5.274308640367818271e+02,1.450514694960157724e-01,0.000000000000000000e+00,1.032220128785536239e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.107206295323071288e+01,4.915761330975000476e+01,-6.490023743024085114e-03,3.563881810930528786e+02,2.406835616639318998e-01,0.000000000000000000e+00,6.892100538474104532e+00,1.000000000000000000e+00
1.600000000000000000e+01,1.419137812137689281e+01,8.478142509956191475e+01,-9.309050509988333819e-03,5.113094060171305273e+02,1.409624266062087239e-01,0.000000000000000000e+00,1.937465334304118159e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.344761268605867883e+02,6.663114861099182917e+01,-1.384484803540428875e-02,7.605767478103244912e+02,7.046285955177233884e-02,0.000000000000000000e+00,6.767538954096023573e+00,1.000000000000000000e+00
1.600000000000000000e+01,3.891415067929387561e+01,1.053426503626305646e+02,-8.201821024195076262e-03,4.504609776796199867e+02,2.203920006545098120e-01,0.000000000000000000e+00,5.758861483592258246e+00,1.000000000000000000e+00
1.600000000000000000e+01,2.199063749924740421e+02,1.474528360483596998e+02,-7.849533940154050649e-03,4.311008399100380188e+02,1.490862649887561009e-01,0.000000000000000000e+00,1.284095623436572176e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.548751374373164822e+02,8.939026680243932432e+00,-8.198702442581150968e-03,4.502895942471117223e+02,2.647695738976180158e-01,0.000000000000000000e+00,5.017808419444381940e+00,1.000000000000000000e+00
1.700000000000000000e+01,1.304530063831067821e+02,7.735635339190058346e+01,-8.297128885459158221e-03,4.556986755918771337e+02,2.479907269312635609e-01,0.000000000000000000e+00,5.796870532070713011e+00,1.000000000000000000e+00
