frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,2.430095545370304322e+01,4.428399759938560720e+01,-7.642765348088591086e-03,4.197377539209314250e+02,2.267251401608572081e-01,0.000000000000000000e+00,5.581942941585320561e+00,1.000000000000000000e+00
1.000000000000000000e+01,4.640700680877868933e+01,8.558078550788884797e+01,-8.546471322089707265e-03,4.694014315078690629e+02,9.226769626918196465e-02,0.000000000000000000e+00,1.303797415744906907e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.286615695893574696e+02,1.345040094912076256e+02,2.803392947121701416e-03,-1.537872815779800248e+02,4.124559275889406740e-01,0.000000000000000000e+00,1.276163146423693995e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.588395025241209453e+02,6.597315401965626336e+01,5.223509699875357633e-03,-2.867861789952007712e+02,4.236107546624590103e-01,0.000000000000000000e+00,6.781175030274087412e+00,1.000000000000000000e+00
1.000000000000000000e+01,2.038693711601387974e+02,1.020567135681806406e+02,3.076366764786133811e-03,-1.687887135261825904e+02,2.762378920470384136e-01,0.000000000000000000e+00,1.621639871237760744e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.135693784450269135e+02,1.452938264792897769e+02,-1.326800262534729574e-02,7.288758790689832949e+02,6.607707792198014296e-02,0.000000000000000000e+00,8.422404155873621789e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.878949615187931101e+02,1.587137675467571398e+02,-7.382605749852318676e-03,4.054405347150556054e+02,1.325616764372298251e-01,0.000000000000000000e+00,1.603368356385885463e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.141601308702876771e+01,2.942035616281183152e+01,-2.267466676655463184e-02,1.245824475755975527e+03,3.550727761939176386e-02,0.000000000000000000e+00,4.419723015708030722e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.732239751350748236e+02,1.165991323072966708e+02,-1.560695176363804254e-02,8.574141639073810666e+02,6.203864205188736047e-02,0.000000000000000000e+00,1.191781747344502485e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.231432740598536668e+02,8.264964243502846841e+01,-1.509162028847397911e-02,8.290938285668543131e+02,4.910837519049326971e-02,0.000000000000000000e+00,1.505907785455581838e+01,1.000000000000000000e+00
1.100000000000000000e+01,4.540962889481805043e+00,9.225105751003532362e+01,-8.481881882862390976e-03,4.658518820110294882e+02,1.106259698428222471e-01,0.000000000000000000e+00,1.094723334536857173e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.387200921414075196e+02,2.145784025661877337e+01,-2.215136841024240195e-03,1.214593315231366404e+02,4.058500837836395148e-01,0.000000000000000000e+00,1.110113663592498234e+01,1.000000000000000000e+00
1.200000000000000000e+01,2.043937341178996689e+02,5.071482299203128008e+01,-1.829216065907442526e-02,1.004981351325757714e+03,1.481297889831402204e-01,0.000000000000000000e+00,5.860476051252079266e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.227001669474255721e+02,1.149587160804537547e+02,-7.347661602111484926e-03,4.035201591317589305e+02,1.576827900247047554e-01,0.000000000000000000e+00,1.851212554546265565e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.335282544950003825e+01,5.900427573644999590e+00,-1.103087428768556241e-02,6.059332144428702804e+02,7.351236472352395968e-02,0.000000000000000000e+00,1.405528815733420878e+01,1.000000000000000000e+00
1.200000000000000000e+01,6.886312474312366305e+01,3.165879900570013206e+01,-7.133575005503910334e-03,3.917549080263256087e+02,1.069676435816563353e-01,0.000000000000000000e+00,8.886072331497675947e+00,1.000000000000000000e+00
1.200000000000000000e+01,2.098196617592782616e+02,4.850021495045306352e+01,-1.708940170388842730e-02,9.388830464747978795e+02,2.200171284048275666e-01,0.000000000000000000e+00,5.860476051252079266e+00,1.000000000000000000e+00
