frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,9.547110413997589262e+01,1.187786671599901354e+02,3.712858673388872311e-03,-2.037674896380487439e+02,2.661376711156627772e-01,0.000000000000000000e+00,1.427145624990158446e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.862933212390005338e+02,8.089030327258498687e+01,-6.301783386148475212e-03,3.460433248437029192e+02,8.431786374198502187e-02,0.000000000000000000e+00,1.750213074967296478e+01,1.000000000000000000e+00
1.000000000000000000e+01,6.895810054556852720e+01,9.160289292991284071e+01,-8.751028594164704522e-03,4.806429931447998456e+02,5.577334536665456977e-02,0.000000000000000000e+00,1.069554355781763277e+01,1.000000000000000000e+00
1.000000000000000000e+01,8.864511339268570111e+01,1.369240835451691112e+02,-2.630724215068812235e-03,1.442981728581903553e+02,2.759414940475688471e-01,0.000000000000000000e+00,1.030225414971162579e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.087895951324328792e+02,2.876957775432237341e+01,4.504339433833262282e-03,-2.472637665619919858e+02,3.131294553687207216e-01,0.000000000000000000e+00,3.340915893908436018e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.341530844125909994e+01,6.236644601685949851e+01,-5.439919315880926108e-03,2.986790929575026894e+02,1.352157527157878958e-01,0.000000000000000000e+00,1.430156978117833333e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.624956454997519018e+01,1.300990895648619414e+02,-4.729812663267266536e-03,2.596547765732660196e+02,2.034561152414773311e-01,0.000000000000000000e+00,6.166544887158064370e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.062954221214105814e+02,1.592263651708348959e+02,-7.057344149631020365e-03,3.875655978334477254e+02,1.169283051765109827e-01,0.000000000000000000e+00,2.115857754761262299e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.375055959616875043e+02,1.347424529183294624e+02,3.035147922301882194e-03,-1.665235085120104657e+02,3.192074735575095579e-01,0.000000000000000000e+00,1.295346086386785522e+01,1.000000000000000000e+00
1.300000000000000000e+01,2.232448084569599587e+02,1.342028258071905782e+02,-3.858092199559019081e-03,2.117488809600445165e+02,2.609536392433282614e-01,0.000000000000000000e+00,3.195093174507449163e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.634715105270730362e+02,1.910195002612369564e+01,-8.841166725768902571e-03,4.855965856130004568e+02,5.705816554407716623e-02,0.000000000000000000e+00,1.098946198934350527e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.647774611832354026e+02,4.426276940236984103e+01,-7.183037426749965849e-03,3.944731436163343687e+02,8.540422837613126372e-02,0.000000000000000000e+00,2.501040138750353492e+01,1.000000000000000000e+00
1.300000000000000000e+01,4.333200726266650094e+01,7.477784235973305726e+01,-7.046205574374542549e-03,3.869534710729413405e+02,1.235202789370926091e-01,0.000000000000000000e+00,1.285513865442938730e+01,1.000000000000000000e+00
1.300000000000000000e+01,7.025472212191199617e+01,1.022195508072740040e+02,-3.376874936401610093e-03,1.853033116108608738e+02,2.087736659829885211e-01,0.000000000000000000e+00,9.816369742246612518e+00,1.000000000000000000e+00
1.300000000000000000e+01,9.808934180932907054e+01,1.328078971816140950e+02,-7.452121161404293495e-03,4.092607938324710517e+02,1.016855807472670792e-01,0.000000000000000000e+00,8.564662597790640319e+00,1.000000000000000000e+00
1.300000000000000000e+01,1.751712406032198430e+02,1.424069007610160611e+02,-8.918013096834109116e-03,4.898197217945743773e+02,9.493125460268669880e-02,0.000000000000000000e+00,2.418871387284366037e+01,1.000000000000000000e+00
1.300000000000000000e+01,2.073837831541353012e+02,3.180032216648336174e+01,-3.416803414172353039e-03,1.874976038957328512e+02,3.309601532299840665e-01,0.000000000000000000e+00,3.340915893908436018e+00,1.000000000000000000e+00
1.300000000000000000e+01,8.359679399225410634e+01,9.116093002648787547e+01,-2.980048120204196755e-03,1.634954674397931740e+02,2.947942297476947582e-01,0.000000000000000000e+00,9.613140983332014500e+00,1.000000000000000000e+00
1.400000000000000000e+01,2.655231785656496513e+01,4.001401855176408873e+01,-8.809183395228528668e-03,4.838389234288268312e+02,9.117319646511512499e-02,0.000000000000000000e+00,1.361209613300634835e+01,1.000000000000000000e+00
1.400000000000000000e+01,7.501220412102971125e+01,2.106318161077609119e+01,-8.715071353245689226e-03,4.786669424476783092e+02,9.765967008619080847e-02,0.000000000000000000e+00,8.932204354043308925e+00,1.000000000000000000e+00
