frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.100000000000000000e+01,5.228410947629829053e+01,9.764229668661729988e+01,-7.013814807115078057e-03,3.851734179713275807e+02,1.642046486473806022e-01,0.000000000000000000e+00,1.239184691791028214e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.966627466480368582e+02,1.163010347009772971e+02,-5.254774562285573387e-03,2.885043573532194614e+02,2.685208276044039888e-01,0.000000000000000000e+00,1.222136134553051789e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.572666068440995844e+02,1.383397509954934890e+02,-4.047256870716880485e-03,2.221445334283234274e+02,3.751302108278415925e-01,0.000000000000000000e+00,2.155574608630117339e+01,1.000000000000000000e+00
1.200000000000000000e+01,2.432769749100311074e+01,7.941964932849764125e+01,3.810804865232077926e-03,-2.091501785130957387e+02,3.769776724987424776e-01,0.000000000000000000e+00,9.090764519082023654e+00,1.000000000000000000e+00
1.200000000000000000e+01,2.268303337485473890e+02,9.554355687277862330e+01,-5.163817285897157744e-03,2.835057483158793161e+02,1.897678287926415353e-01,0.000000000000000000e+00,1.486276820971552937e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.477708640848326382e+01,7.871206500998445676e+01,-1.644009650123592556e-02,9.032001084753029545e+02,7.537484402866878597e-02,0.000000000000000000e+00,9.143892044601583891e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.909207752504477185e+02,1.600103422626978329e+02,3.869169549613213008e-03,-2.123576430546153802e+02,3.819014208822310019e-01,0.000000000000000000e+00,1.093965482384890109e+01,1.000000000000000000e+00
1.600000000000000000e+01,7.234176099959992712e+01,5.145485800828340928e+01,-3.204877743070380907e-03,1.758511076847973982e+02,3.772712673552960361e-01,0.000000000000000000e+00,8.934278813959938503e+00,1.000000000000000000e+00
1.800000000000000000e+01,2.242758737390800547e+02,4.438672637341404226e+01,-1.548355052384873566e-02,8.506325783441136537e+02,4.973663406386907848e-02,0.000000000000000000e+00,1.668138199326009641e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.522032231075066306e+02,7.921453537000775214e+01,-6.370697449369961199e-03,3.498305365203997326e+02,2.980084744334091651e-01,0.000000000000000000e+00,1.124567105371709808e+01,1.000000000000000000e+00
1.900000000000000000e+01,8.984544829754680961e+01,7.549970750898886251e+00,-9.161198728799752056e-03,5.031841269962405931e+02,1.365658925892531128e-01,0.000000000000000000e+00,2.286842894606451893e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.757302039361566131e+02,5.056139781698792035e+01,-4.055954794695214652e-03,2.226225328048497829e+02,2.197975800195965945e-01,0.000000000000000000e+00,1.238274922821678636e+01,1.000000000000000000e+00
1.900000000000000000e+01,2.004766761767223215e+02,6.138369900629966480e+01,-8.525575353413160362e-03,4.682530816229788115e+02,1.689965448846273421e-01,0.000000000000000000e+00,3.118607937565879951e+00,1.000000000000000000e+00
2.000000000000000000e+01,2.235276627107527929e+02,1.174841725991432071e+02,-6.698392935103626537e-03,3.678392289694679107e+02,2.608156712941614996e-01,0.000000000000000000e+00,7.292639121122079793e+00,1.000000000000000000e+00
2.000000000000000000e+01,1.979669489923769845e+02,4.137141261493373179e+01,-6.596470934563593291e-03,3.622380472583136566e+02,2.374370367774683022e-01,0.000000000000000000e+00,9.650512601421500136e+00,1.000000000000000000e+00
2.100000000000000000e+01,2.874719322485497131e+01,9.854524251600579987e+01,-1.061359896077564147e-02,5.830016106947105072e+02,1.624236652941688508e-01,0.000000000000000000e+00,5.834070206326854802e+00,1.000000000000000000e+00
2.100000000000000000e+01,3.454995443154396639e+01,9.914884631859152364e+01,-6.153453411429738937e-03,3.378917664244367529e+02,3.202158225330705710e-01,0.000000000000000000e+00,5.834070206326854802e+00,1.000000000000000000e+00
2.100000000000000000e+01,5.319946619784352748e+01,1.408519499879053569e+02,-3.972517388041179980e-03,2.180371825006909319e+02,3.971899829333188636e-01,0.000000000000000000e+00,9.864831515469456136e+00,1.000000000000000000e+00
2.500000000000000000e+01,9.915475219212311231e+01,1.434407110153050837e+02,-7.554743966209489202e-03,4.149004886419978675e+02,2.110773237662749713e-01,0.000000000000000000e+00,1.663547393814374331e+01,1.000000000000000000e+00
2.600000000000000000e+01,9.043634637322118408e+01,1.111262619655334731e+02,-8.704820839911208558e-03,4.781036196369522031e+02,1.192795065559054679e-01,0.000000000000000000e+00,8.897604286305966781e+00,1.000000000000000000e+00
2.600000000000000000e+01,6.141916370060993557e+01,7.804903726594442048e+01,-4.109616115790431894e-03,2.255715213325705406e+02,3.524732821489936496e-01,0.000000000000000000e+00,3.398619989165974076e+00,1.000000000000000000e+00
2.700000000000000000e+01,6.307944667491648971e+01,2.066418468828954857e+01,-4.575301492298950237e-03,2.511635269862170787e+02,2.580005696289647821e-01,0.000000000000000000e+00,1.011804068401403178e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.909153538661415439e+01,5.742835354933365011e+01,-4.999945243203750972e-03,2.745000666805068477e+02,2.471756661453116122e-01,0.000000000000000000e+00,1.074908555315109027e+01,1.000000000000000000e+00
2.900000000000000000e+01,2.205719555813082593e+02,1.587890868537254221e+02,-1.334721753439074322e-02,7.332291796069827114e+02,7.435445803751739025e-02,0.000000000000000000e+00,4.761820415152603125e+00,1.000000000000000000e+00
3.100000000000000000e+01,9.107001181817850011e+01,1.244233871564586451e+02,-1.874073127310553130e-02,1.029632805439292270e+03,5.271098610602920065e-02,0.000000000000000000e+00,3.590847278336880333e+00,1.000000000000000000e+00
3.200000000000000000e+01,5.829273549325355930e+01,8.322625233809324641e+01,-3.457994886542300333e-03,1.897613047696520425e+02,3.988741765262742156e-01,0.000000000000000000e+00,8.283426062255788480e+00,1.000000000000000000e+00
3.400000000000000000e+01,1.105061197258588095e+02,3.636374766927852420e+01,3.309677194734423483e-03,-1.816104213647625727e+02,3.332801846520292433e-01,0.000000000000000000e+00,7.260310628678858791e+00,1.000000000000000000e+00
3.400000000000000000e+01,1.704478658881428998e+01,8.576072036778843710e+01,-7.526417580308209995e-03,4.133437959376486788e+02,1.673321138577595901e-01,0.000000000000000000e+00,7.527106528752543824e+00,1.000000000000000000e+00
3.400000000000000000e+01,1.056091941709290261e+01,1.174513552077428500e+02,-3.971590084504505493e-03,2.179862220055790942e+02,2.997552062451811494e-01,0.000000000000000000e+00,4.814376785348406962e+00,1.000000000000000000e+00
3.500000000000000000e+01,4.524853744691957047e+01,6.933275713152320918e+01,-1.375505131446964381e-02,7.556419177603276012e+02,6.432107441774970180e-02,0.000000000000000000e+00,4.069503813815902760e+00,1.000000000000000000e+00
3.500000000000000000e+01,1.331215329691125362e+02,1.061914057289388182e+02,-7.455114154553472983e-03,4.094252754792202040e+02,1.564127650891192767e-01,0.000000000000000000e+00,1.710969354348592120e+01,1.000000000000000000e+00
3.500000000000000000e+01,6.858758405305935923e+01,1.160731351132676821e+02,-1.503566861175051686e-02,8.260189722383742037e+02,7.673622645060840242e-02,0.000000000000000000e+00,1.136649653184015207e+01,1.000000000000000000e+00
