frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,1.099031092873557469e+02,6.823679175649644435e+01,-6.581356800692680573e-03,3.616526260580385497e+02,1.938671016947495218e-01,0.000000000000000000e+00,8.998753843463436652e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.819770680665753844e+02,8.600930883577125030e+01,-8.623502968246250441e-03,4.755143125152556536e+02,1.342303567021688737e-01,0.000000000000000000e+00,9.839935266726795859e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.801609624861263015e+01,1.063690573647500202e+02,5.285245445334114250e-03,-2.893867779506677493e+02,2.866353592108699111e-01,0.000000000000000000e+00,9.900662134445418872e+00,1.000000000000000000e+00
1.000000000000000000e+01,9.141063116898990870e+00,1.206089254074304620e+02,-8.057274170967573118e-03,4.439437193798841577e+02,2.729913155336063380e-01,0.000000000000000000e+00,6.881356521398014792e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.065102762402913470e+02,8.361327644384144264e+01,-8.428272983717984349e-03,4.646290900769251380e+02,1.097273675251674296e-01,0.000000000000000000e+00,1.004864749260249823e+01,1.000000000000000000e+00
1.100000000000000000e+01,8.726451185660587839e+01,4.058139473384452600e+01,-8.200271745499049941e-03,4.519166770722078468e+02,8.322606639370755399e-02,0.000000000000000000e+00,2.695672211311513067e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.039001352782187837e+01,6.697168144434687065e+01,8.156006243049506235e-03,-4.494486143836202245e+02,1.555075143965944928e-01,0.000000000000000000e+00,9.640488082901724098e+00,1.000000000000000000e+00
1.100000000000000000e+01,9.728914193746041406e+01,1.276901528966638892e+02,7.222040187763032436e-03,-3.973745014536393114e+02,1.365732180323555589e-01,0.000000000000000000e+00,4.266819673801676593e+00,1.000000000000000000e+00
1.100000000000000000e+01,2.077965243571899521e+02,1.384863750225034948e+02,-6.847877478572653338e-03,3.765127248801951509e+02,2.202537020843613469e-01,0.000000000000000000e+00,1.245789884346485010e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.164149953189680673e+02,5.305781044970208526e+00,-1.351210440633437287e-02,7.480826589939553060e+02,7.314088205004365406e-02,0.000000000000000000e+00,3.051268342169703374e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.712762688378885656e+01,5.888777946525927121e+00,-8.639626176846324987e-03,4.764132764344275870e+02,1.804638084719873969e-01,0.000000000000000000e+00,3.970471687394288463e+00,1.000000000000000000e+00
1.100000000000000000e+01,4.578402277813745513e+01,2.945642810054283345e+01,6.867007416639824696e-03,-3.775793316905977690e+02,1.138243782652333946e-01,0.000000000000000000e+00,1.448859445482856678e+01,1.000000000000000000e+00
1.200000000000000000e+01,2.505094647461233848e+01,7.541056256343448183e+01,-8.127488777952327978e-03,4.478585976056638174e+02,3.079998866786750611e-01,0.000000000000000000e+00,7.505320839849511039e+00,1.000000000000000000e+00
1.200000000000000000e+01,2.530896917058602469e+01,8.291144685779883616e+01,-1.378049508441287277e-02,7.630470213500658474e+02,1.116071406302696634e-01,0.000000000000000000e+00,7.505320839849511039e+00,1.000000000000000000e+00
1.200000000000000000e+01,2.016784626725313956e+02,9.603204923651794900e+01,-8.576449140071199309e-03,4.728907842314317236e+02,2.072703371431546815e-01,0.000000000000000000e+00,6.682655578862604528e+00,1.000000000000000000e+00
1.200000000000000000e+01,2.225374259371393748e+02,1.123801173558709081e+02,9.948620797828502949e-03,-5.493974425418944065e+02,2.099488761882669641e-01,0.000000000000000000e+00,1.350730117417139731e+01,1.000000000000000000e+00
1.200000000000000000e+01,9.875764921018758358e+00,1.380270523579851272e+02,-1.109055111299633856e-02,6.130667888244838650e+02,1.040376188310698780e-01,0.000000000000000000e+00,6.866021032959504389e+00,1.000000000000000000e+00
1.200000000000000000e+01,9.873607902752584664e+01,1.475064174859811885e+02,-1.323365954848000625e-02,7.325577168500641392e+02,5.604850752338930153e-02,0.000000000000000000e+00,1.672409276925587918e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.890135423841051932e+01,1.532723984057696498e+02,-8.403637868954949922e-03,4.632555372149639652e+02,1.107683731786029968e-01,0.000000000000000000e+00,1.359519621208445805e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.481344423234024532e+01,7.868822935276098463e+01,-6.036313467149121217e-03,3.312632474055405396e+02,1.611382873866171739e-01,0.000000000000000000e+00,1.491292242943500490e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.870170480304797422e+02,9.479270061285274096e+01,-8.538217600017656075e-03,4.707591505141606376e+02,1.501513319379764733e-01,0.000000000000000000e+00,1.012666624048902442e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.206020259085913864e+02,9.741004315002277281e+01,6.663800161834573625e-03,-3.662493294115810158e+02,2.027962076779916689e-01,0.000000000000000000e+00,1.164738041655910727e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.959419656109779453e+02,1.024424720018153891e+02,8.270579018440615479e-03,-4.558367219713076111e+02,1.506839940207322925e-01,0.000000000000000000e+00,6.752152326116129366e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.928967539790563421e+02,1.294581384704982554e+02,7.839349280888438173e-03,-4.317931221799101991e+02,1.346410672331385117e-01,0.000000000000000000e+00,1.125207572368360687e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.518524878661285129e+02,1.034474359350713115e+02,-7.397332456790270926e-03,4.071480787281122389e+02,1.041701742002278941e-01,0.000000000000000000e+00,1.168989377435718779e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.864711133715371432e+02,1.416503017640736743e+02,-8.612189391555283985e-03,4.748835139258286517e+02,8.573618579316488741e-02,0.000000000000000000e+00,6.540155816129618493e+00,1.000000000000000000e+00
1.300000000000000000e+01,6.712037949616809840e+01,1.321485895398749051e+02,8.205749943104679450e-03,-4.522221188804551275e+02,1.658795862238391372e-01,0.000000000000000000e+00,1.620749682111789625e+01,1.000000000000000000e+00
1.300000000000000000e+01,2.194125074856558228e+02,1.339843555253001455e+02,-6.992238539121615852e-03,3.845617049551858599e+02,1.749095501773593186e-01,0.000000000000000000e+00,1.245789884346485010e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.674144053799250287e+01,1.379581818451766821e+02,-7.822029942956651438e-03,4.308274669998022546e+02,1.519914521344425395e-01,0.000000000000000000e+00,6.866021032959504389e+00,1.000000000000000000e+00
1.400000000000000000e+01,9.792606000795885279e+01,9.220106164820455774e+01,-7.943428153331044683e-03,4.375961328209542671e+02,8.880200948788063986e-02,0.000000000000000000e+00,8.541370281878313264e+00,1.000000000000000000e+00
1.400000000000000000e+01,3.450450981494339686e+01,6.052448162406957977e+01,-8.868465800476581576e-03,4.891724343677650495e+02,1.461589536699573477e-01,0.000000000000000000e+00,1.551726106507687319e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.934585849900696530e+02,6.958539096672622293e+01,-8.632148212485167560e-03,4.759963358417527957e+02,1.382374965333875716e-01,0.000000000000000000e+00,1.006780087346772845e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.803423882184559446e+01,7.923386280564201911e+01,-6.976776262627245109e-03,3.836995918968312367e+02,1.820324398103436714e-01,0.000000000000000000e+00,7.990732821616526316e+00,1.000000000000000000e+00
1.400000000000000000e+01,1.289240976883919245e+02,8.844246291438516039e+01,8.090115479304660351e-03,-4.457748159057522912e+02,1.361392043327395163e-01,0.000000000000000000e+00,7.886739460843237737e+00,1.000000000000000000e+00
1.400000000000000000e+01,8.402049169750515034e+01,1.100135122143556146e+02,1.317591737616991172e-02,-7.293382503772960490e+02,5.324638662392044974e-02,0.000000000000000000e+00,1.370940608028261032e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.287042552387502781e+02,5.181959312894214520e+01,5.576586663930727800e-03,-3.056307682247091861e+02,1.571684510925722700e-01,0.000000000000000000e+00,1.448798957700093126e+01,1.000000000000000000e+00
1.400000000000000000e+01,7.157211080796149361e+01,1.157568238290021725e+02,-5.381848388801753653e-03,2.947729614838149246e+02,1.865122735327854331e-01,0.000000000000000000e+00,8.167158151401736177e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.935958960861623552e+02,5.794348465513878921e+01,-8.468789739253846510e-03,4.668881380277457538e+02,9.693674517576267302e-02,0.000000000000000000e+00,1.164271604501670865e+01,1.000000000000000000e+00
1.500000000000000000e+01,8.968876748152626988e+01,8.097646199572231751e+00,-7.874363744511555380e-03,4.337453849228357399e+02,2.506618038508552360e-01,0.000000000000000000e+00,5.194495368754918907e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.730023192415948188e+02,5.163085958503008754e+01,-7.544402014171385819e-03,4.153480734669760750e+02,1.574929564961518036e-01,0.000000000000000000e+00,1.623776740389277151e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.214430664556368100e+02,1.163433638014625870e+02,-8.015791106171886796e-03,4.416307939918306147e+02,1.023896600551412739e-01,0.000000000000000000e+00,1.837200147321122756e+01,1.000000000000000000e+00
1.500000000000000000e+01,3.550089920707568325e+01,1.094235357852732164e+02,7.821947307365035434e-03,-4.308228595784666481e+02,1.046690886419094912e-01,0.000000000000000000e+00,1.109311908428730398e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.675920932828258572e+02,6.694080881218251022e+01,7.068758669428679663e-03,-3.888281532746643165e+02,1.290916851683074906e-01,0.000000000000000000e+00,1.144583918948006662e+01,1.000000000000000000e+00
1.600000000000000000e+01,7.617343537993433245e+01,7.154356821751576945e+01,-7.240495989291283879e-03,3.984035211782380657e+02,1.807882202589797815e-01,0.000000000000000000e+00,1.982971184646143925e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.358522841007228124e+02,8.467405577618796997e+01,-7.767561399762812346e-03,4.277905246469696294e+02,2.047540261075613266e-01,0.000000000000000000e+00,6.167773235133698684e+00,1.000000000000000000e+00
1.600000000000000000e+01,1.014428024382207099e+02,1.267140101954338007e+02,-8.512146338324271325e-03,4.693055239953338855e+02,1.242261354445175492e-01,0.000000000000000000e+00,4.266819673801676593e+00,1.000000000000000000e+00
1.600000000000000000e+01,8.278775553435356471e+01,9.602360413622936619e+01,-6.794759436265339868e-03,3.735510809124364755e+02,1.883997870756835002e-01,0.000000000000000000e+00,9.776939737327010604e+00,1.000000000000000000e+00
1.700000000000000000e+01,1.885275162986559678e+02,7.836292911750388157e+01,1.231314614588350023e-02,-6.812336686054323991e+02,3.791063550103102031e-02,0.000000000000000000e+00,1.006780087346772845e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.477920464257505557e+02,8.645007480138855271e+01,-1.583585160730046140e-02,8.776452629867941369e+02,7.330755191950799610e-02,0.000000000000000000e+00,8.938002813093044452e+00,1.000000000000000000e+00
