frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,5.711027790166314588e+01,2.536123992771513969e+01,-8.551857748497320930e-03,4.696974456453756375e+02,9.341340780653806242e-02,0.000000000000000000e+00,1.673509204717679566e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.162754813155273865e+02,8.100043441612373840e+01,-1.579171597514192338e-02,8.675679866038350383e+02,6.142825916064664771e-02,0.000000000000000000e+00,1.004208355266720432e+01,1.000000000000000000e+00
1.000000000000000000e+01,2.196321263690757633e+02,2.438614417413116797e+01,-7.565712876448093399e-03,4.155032913646115276e+02,8.185523135230687863e-02,0.000000000000000000e+00,2.139672097510161919e+01,1.000000000000000000e+00
1.000000000000000000e+01,7.674086488340014967e+01,1.209855295232635797e+02,-7.142705043683377289e-03,3.922566544854022368e+02,1.133225199575529363e-01,0.000000000000000000e+00,8.568441576727398257e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.552120441071422476e+02,1.219440462065372941e+02,-1.509886810701515855e-02,8.294921365714412786e+02,5.351533207337333398e-02,0.000000000000000000e+00,1.293420678337307805e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.641738305627001182e+02,6.332258375679749918e+01,-4.926691985012914519e-03,2.704743920676953621e+02,1.834305931322491867e-01,0.000000000000000000e+00,1.372324599387106048e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.668838736049320559e+01,1.185579983254712175e+02,-2.249783215983336242e-03,1.233633428332605746e+02,4.430378887193218151e-01,0.000000000000000000e+00,1.162890481006379240e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.473489433163693718e+02,4.022427808941461080e+01,-6.236885086333399802e-03,3.424768017369824520e+02,9.290677461322438546e-02,0.000000000000000000e+00,2.243066563566199534e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.852273589214917848e+01,4.716436227333824860e+01,-8.078727076378229219e-03,4.436962795220844669e+02,8.277606895791089769e-02,0.000000000000000000e+00,2.184882563418678458e+01,1.000000000000000000e+00
1.200000000000000000e+01,2.223551551559435779e+02,1.001218903426917137e+02,-8.732161372640325284e-03,4.796061342175544269e+02,9.215233862043403779e-02,0.000000000000000000e+00,7.370206475718130257e+00,1.000000000000000000e+00
1.300000000000000000e+01,1.751373385231311204e+02,1.279679228533525048e+02,-1.198244590852116410e-02,6.582273759706777128e+02,7.509842331670890658e-02,0.000000000000000000e+00,2.081596616589974857e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.406810423103141829e+02,7.022599426052073568e+01,-3.118281080704599778e-02,1.713394387482227103e+03,2.521221968970854821e-02,0.000000000000000000e+00,1.247285395867500668e+01,1.000000000000000000e+00
