frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,1.768657033297871521e+02,2.248042675969478310e+01,-1.434280587464891420e-02,7.943991624977619495e+02,5.669758422286763633e-02,0.000000000000000000e+00,1.114563248213355351e+01,1.000000000000000000e+00
1.100000000000000000e+01,6.119035449732391641e+01,1.099193467951787397e+02,-7.392437690590852699e-03,4.068751666598506631e+02,1.117914317197368224e-01,0.000000000000000000e+00,1.692151308249622232e+01,1.000000000000000000e+00
1.300000000000000000e+01,9.217822187845664317e+00,5.175552653098358036e+01,-1.674810273942764147e-02,9.285086409500571563e+02,5.383161210355225101e-02,0.000000000000000000e+00,1.727444022189727235e+01,1.000000000000000000e+00
1.300000000000000000e+01,3.756987862716221116e+01,7.431435441862275582e+01,-4.104293303732973845e-03,2.235417348267206705e+02,3.126897059470111762e-01,0.000000000000000000e+00,2.051111013732442956e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.966809990725422210e+02,1.236592746731356129e+02,7.287913240874751598e-03,-4.010473124593135594e+02,1.349218922483214067e-01,0.000000000000000000e+00,7.178087446818633310e+00,1.000000000000000000e+00
1.600000000000000000e+01,1.030571165457947558e+02,8.674393702663927286e+01,-5.203616536464637787e-03,2.848354851121754336e+02,2.406440819344123350e-01,0.000000000000000000e+00,2.248383040426694635e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.676770033653112932e+02,1.265144013001961127e+02,-1.630815188647932040e-02,9.039787875679177205e+02,4.978508144189730533e-02,0.000000000000000000e+00,2.164149165128974062e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.140556700717058476e+02,1.307200184793124436e+02,-9.676778648655785797e-03,5.342406403272713078e+02,1.059492408921602902e-01,0.000000000000000000e+00,8.841962614130824960e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.874793529334420938e+01,6.616327545912315600e+01,2.854251946404748330e-03,-1.538445606733300224e+02,3.831913339603427726e-01,0.000000000000000000e+00,1.727444022189727235e+01,1.000000000000000000e+00
1.900000000000000000e+01,4.010943803104625971e+01,1.395250488393661783e+02,-5.485179710772091974e-03,3.005342917795258586e+02,1.954913642958094888e-01,0.000000000000000000e+00,1.172727114165441797e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.016671019289186830e+02,1.136852063198708152e+02,-1.285091768049202027e-02,7.112176016030225583e+02,5.462172508577489705e-02,0.000000000000000000e+00,1.573140370632276408e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.303320661518360168e+01,1.147692968698241884e+02,3.739481443133227823e-03,-2.032013231816308121e+02,2.419073018810135034e-01,0.000000000000000000e+00,1.494688266722194214e+01,1.000000000000000000e+00
2.200000000000000000e+01,2.187355676857361857e+02,1.213845087996168672e+02,-5.139925696727046765e-03,2.812843453653638335e+02,1.764955508692406250e-01,0.000000000000000000e+00,2.179867249772265225e+01,1.000000000000000000e+00
2.200000000000000000e+01,7.036024917454989236e+01,1.071330038937512512e+02,-7.075037761078160729e-03,3.891782496467990313e+02,8.613638659764399907e-02,0.000000000000000000e+00,1.893513597179887142e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.376513283178120730e+02,1.396157804801053430e+02,-1.353442289343701095e-02,7.493270462082772383e+02,5.204243433183941558e-02,0.000000000000000000e+00,9.715705147845721257e+00,1.000000000000000000e+00
2.300000000000000000e+01,5.712554404541085518e+01,8.684924430121070316e+01,3.796549867398729423e-03,-2.063832242294438117e+02,2.587010675753415034e-01,0.000000000000000000e+00,2.421958552624796468e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.465207970777503874e+02,1.259279295857632945e+02,7.632254075415548580e-03,-4.202463437332941680e+02,2.051083089414562632e-01,0.000000000000000000e+00,1.631026481051923582e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.170863027774639846e+02,1.532465427581116479e+01,-6.373305074886666428e-03,3.500525159645548570e+02,1.268515191218995142e-01,0.000000000000000000e+00,3.051938530218725987e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.389224636378644675e+02,1.059081695012069559e+02,-2.258848131187838736e-03,1.206472883131084473e+02,4.626552710004394608e-01,0.000000000000000000e+00,2.141320772109783377e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.984700624661906829e+02,9.911137235347258923e+01,-4.384237946563692909e-03,2.391502988236622969e+02,2.266672270298549785e-01,0.000000000000000000e+00,3.040811833691862809e+00,1.000000000000000000e+00
2.900000000000000000e+01,1.174445238423804625e+02,1.192665882356186984e+02,-6.402083016435072306e-03,3.516570558400692903e+02,1.163222931787134540e-01,0.000000000000000000e+00,1.897651668540607162e+01,1.000000000000000000e+00
3.200000000000000000e+01,2.568302409004178344e+01,9.634045751779891020e+01,3.715600883980947795e-03,-2.018698412427658297e+02,2.670106873502732237e-01,0.000000000000000000e+00,2.048483046068601965e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.113618568577024348e+02,6.368424408925109503e+01,-1.083432296553710379e-02,5.987805592435389599e+02,6.140244665401095592e-02,0.000000000000000000e+00,2.309617810682932060e+01,1.000000000000000000e+00
3.300000000000000000e+01,2.149887542389883777e+02,1.971717012972368011e+01,1.997397591375597078e-03,-1.060698795746173033e+02,4.198269374653819108e-01,0.000000000000000000e+00,2.839736901946101355e+01,1.000000000000000000e+00
3.500000000000000000e+01,6.891908927429129506e+01,2.346283429071207749e+01,-2.036206439560196355e-02,1.130008306107072030e+03,3.816637220588647850e-02,0.000000000000000000e+00,1.063908048074604906e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.671975448148070882e+02,6.649793466757888893e+01,-6.882400448934756013e-03,3.784375839766674403e+02,1.346395866398076846e-01,0.000000000000000000e+00,9.817328664711668651e+00,1.000000000000000000e+00
3.500000000000000000e+01,1.867452338339025744e+02,1.336643226302782921e+02,-3.372470823102678705e-03,1.827383177374864829e+02,2.255993360449336516e-01,0.000000000000000000e+00,1.681710111146141173e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.292663763263587384e+02,1.147613445387532778e+02,-1.305195975179189623e-02,7.224268821387437356e+02,6.076973547568820244e-02,0.000000000000000000e+00,1.641564444820436108e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.435807624868101300e+02,7.315779968890332441e+01,-7.145411943572729449e-03,3.931020251478831824e+02,9.805777156287887042e-02,0.000000000000000000e+00,1.487959051339951699e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.383020894439580317e+01,9.578018972320323599e+01,-7.582007118169540108e-03,4.174447796815749712e+02,8.532702777399203686e-02,0.000000000000000000e+00,1.294785389293481614e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.390445776997794383e+02,1.015757402465451946e+02,-7.062711365113340765e-03,3.884909804126995141e+02,1.112668492015084221e-01,0.000000000000000000e+00,1.641564444820436108e+01,1.000000000000000000e+00
3.900000000000000000e+01,2.171265541151104799e+02,1.494952770942640896e+01,-2.824358966709291947e-03,1.521778508484238728e+02,3.538892973193151770e-01,0.000000000000000000e+00,4.006104570092595196e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.945270803900734435e+01,7.775442525000227079e+01,-6.105532638426096163e-03,3.351226242229252534e+02,1.757450233566845155e-01,0.000000000000000000e+00,1.123170628365503809e+01,1.000000000000000000e+00
3.900000000000000000e+01,2.000946415919203503e+01,1.071584024749143254e+02,3.640899111723566554e-03,-1.977047771030339050e+02,2.497229140405461401e-01,0.000000000000000000e+00,1.294785389293481614e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.913630182557664057e+02,1.174936406153999968e+02,2.548185902049232739e-03,-1.367795745664066942e+02,3.047836494402464957e-01,0.000000000000000000e+00,1.681710111146141173e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.850777342668622509e+02,5.288867166462258496e+01,3.502535696561033876e-03,-1.899902011120022678e+02,3.188852998267224237e-01,0.000000000000000000e+00,1.850541128244031697e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.261651317805052628e+02,5.564551800205036614e+01,-6.642656943093747449e-03,3.650704703361562906e+02,1.500421152907929212e-01,0.000000000000000000e+00,2.266351724558178304e+01,1.000000000000000000e+00
4.000000000000000000e+01,6.641577193143517377e+01,1.551369946319928488e+02,-7.524902472077942689e-03,4.142608590534442783e+02,1.219547893812645833e-01,0.000000000000000000e+00,3.220552949873570725e+01,1.000000000000000000e+00
4.100000000000000000e+01,8.746734561791298290e+01,1.267735763123919099e+02,-4.519612042486968045e-03,2.466982026462915201e+02,2.324987608509812009e-01,0.000000000000000000e+00,9.478918687104094687e+00,1.000000000000000000e+00
4.300000000000000000e+01,3.965890286999665193e+01,1.468379574204355187e+01,-3.414196846179310199e-03,1.850647894818423538e+02,2.724405153357719600e-01,0.000000000000000000e+00,3.055899878274733439e+01,1.000000000000000000e+00
4.400000000000000000e+01,6.895967319613727398e+01,2.336234774676820081e+01,1.388496813331106458e-02,-7.688720096520177094e+02,5.286069132412107852e-02,0.000000000000000000e+00,1.925326633408808519e+01,1.000000000000000000e+00
4.500000000000000000e+01,2.086969884377455458e+02,3.395905955330466242e+01,-7.667056804111442581e-03,4.221868010059362746e+02,1.157993126439712528e-01,0.000000000000000000e+00,1.027625022051389791e+01,1.000000000000000000e+00
4.600000000000000000e+01,3.179445964369658384e+01,6.053848542231069274e+01,-5.729930610468510210e-03,3.141805971440140866e+02,1.740262465771946765e-01,0.000000000000000000e+00,1.337054839308613552e+01,1.000000000000000000e+00
4.600000000000000000e+01,2.196740616705037326e+02,3.015593984039616871e+01,-2.783193229823544088e-03,1.498826183618675998e+02,3.058585587803860362e-01,0.000000000000000000e+00,1.161722240073114243e+01,1.000000000000000000e+00
4.700000000000000000e+01,1.074083337983432216e+02,1.035860189943898035e+02,-1.105564797163035955e-02,6.111207329535928920e+02,6.361089313889756180e-02,0.000000000000000000e+00,1.752678215592910504e+01,1.000000000000000000e+00
4.700000000000000000e+01,8.802735614961623867e+01,1.267797439973108311e+02,-1.467990072368614320e-02,8.131941873677988042e+02,3.058043323393266899e-02,0.000000000000000000e+00,1.003199978225801736e+01,1.000000000000000000e+00
4.700000000000000000e+01,2.191471075254054028e+02,1.479501158007956008e+02,-2.742851411328120579e-03,1.476333241822337357e+02,2.759514197020818127e-01,0.000000000000000000e+00,1.132798359614056949e+01,1.000000000000000000e+00
4.800000000000000000e+01,8.749266912115029982e+01,1.814542081851050881e+01,6.986858890518299163e-03,-3.842617578347235394e+02,2.830484339990751996e-01,0.000000000000000000e+00,1.925326633408808519e+01,0.000000000000000000e+00
4.900000000000000000e+01,1.230358336514526343e+02,7.207048158409777727e+01,-1.265143838415201671e-02,7.000954549832331395e+02,4.437682562607214720e-02,0.000000000000000000e+00,2.131350287934697008e+01,1.000000000000000000e+00
4.900000000000000000e+01,1.494794989089745627e+02,1.024624875114574252e+02,-6.142923286846188081e-03,3.372073732749192914e+02,1.602328180251610945e-01,0.000000000000000000e+00,1.147955887661422558e+01,1.000000000000000000e+00
5.000000000000000000e+01,4.105275694662951480e+01,7.018501305573211368e+01,-8.566518872812109442e-03,4.723371132968749748e+02,9.387473736627061083e-02,0.000000000000000000e+00,1.023688622616105803e+01,1.000000000000000000e+00
5.000000000000000000e+01,8.430118462898398946e+00,5.031708131389250127e+01,2.849384274372711127e-03,-1.535731592646089609e+02,3.363562507642080535e-01,0.000000000000000000e+00,9.020796892077006746e+00,1.000000000000000000e+00
5.100000000000000000e+01,1.571810403860937697e+02,9.394975992989668612e+01,-1.428655449532699288e-02,7.912628165216991647e+02,5.812555128503604784e-02,0.000000000000000000e+00,1.147955887661422558e+01,1.000000000000000000e+00
5.100000000000000000e+01,1.299105947858904813e+02,1.437058075197600999e+02,-1.454504382348679146e-02,8.056751202554355586e+02,5.385791513814319753e-02,0.000000000000000000e+00,4.198528933210116776e+01,1.000000000000000000e+00
5.400000000000000000e+01,1.427522176144343291e+02,8.016551761936098330e+01,-7.299795125678980659e-03,4.017097975759987207e+02,1.201472786085002742e-01,0.000000000000000000e+00,1.739530341614409181e+01,1.000000000000000000e+00
