frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,8.648809491590569110e+01,1.753230959138037903e+01,-7.638763360847411650e-03,4.106598196825860896e+02,3.414300317505024607e-01,0.000000000000000000e+00,1.037746403506787907e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.307220763170739417e+02,1.263969390404060817e+02,-1.170503822237344178e-02,6.324566303112786727e+02,1.622282324809585230e-01,0.000000000000000000e+00,9.923296648216300753e+00,1.000000000000000000e+00
1.200000000000000000e+01,4.240706991100875456e+01,8.315174364125161333e+01,-6.931085890691127648e-03,3.720592304013342186e+02,3.834686906269006990e-01,0.000000000000000000e+00,4.276249546668791979e+00,1.000000000000000000e+00
1.700000000000000000e+01,1.041048306580704406e+02,8.223581013286154473e+01,7.977071605377656499e-03,-4.291129966569630483e+02,3.064603556585320243e-01,0.000000000000000000e+00,9.572568047594716134e+00,1.000000000000000000e+00
1.800000000000000000e+01,8.278008046688894694e+01,9.443516575813562497e+01,-1.056513248053245896e-02,5.702799534835886561e+02,2.148334115175368764e-01,0.000000000000000000e+00,2.343369230428524830e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.444670265194001217e+02,3.088623768169895101e+01,-9.180085885390815506e-03,4.947319573849535459e+02,2.452609507495687735e-01,0.000000000000000000e+00,2.109769356447035449e+01,1.000000000000000000e+00
2.200000000000000000e+01,2.104920940098407698e+02,1.008080871148663533e+02,-7.137766025748416669e-03,3.833326923135499555e+02,3.853406988029414171e-01,0.000000000000000000e+00,3.184016313655102692e+01,1.000000000000000000e+00
2.300000000000000000e+01,2.073002483854214404e+02,2.233744259479915328e+01,-5.571477056756411229e-03,2.978987485503496941e+02,4.725111498655748532e-01,0.000000000000000000e+00,1.399859323209325979e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.525408048778252521e+02,7.968238257170105499e+01,-6.888188640817210009e-03,3.697193804082114070e+02,3.619917246027118951e-01,0.000000000000000000e+00,8.196973923761914804e+00,1.000000000000000000e+00
2.800000000000000000e+01,1.725245082548958919e+02,1.295450736547681458e+02,-9.828757760361572782e-03,5.301140596560857148e+02,2.333433783437586229e-01,0.000000000000000000e+00,1.182360819539819730e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.085371834184908266e+02,8.756987886763715778e+01,-9.327459214913175548e-03,5.027705026316277213e+02,3.320223474737604707e-01,0.000000000000000000e+00,4.373767679011155707e+00,1.000000000000000000e+00
2.900000000000000000e+01,1.550075380378905834e+02,8.749939024880275440e+01,-6.677744483239604796e-03,3.582406081767056776e+02,4.910934911452466967e-01,0.000000000000000000e+00,8.196973923761914804e+00,1.000000000000000000e+00
3.200000000000000000e+01,2.022206297698521382e+02,8.262227781690032202e+01,-1.036535139152883374e-02,5.593828031742999656e+02,2.385611754255665407e-01,0.000000000000000000e+00,2.084269469658845964e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.815947193228401773e+02,1.450581328529698624e+02,-6.719637605313048476e-03,3.605256875625298676e+02,3.297528670889132707e-01,0.000000000000000000e+00,1.251487562467428383e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.735953309090296273e+02,1.008024902940404104e+02,5.784672763990698213e-03,-3.095276053085835315e+02,3.787750301512885498e-01,0.000000000000000000e+00,1.316843888134414975e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.534758394377477941e+02,1.533134592702775194e+02,9.448488874861516243e-03,-5.093721204469917438e+02,2.645335400015520477e-01,0.000000000000000000e+00,1.061039877905333562e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.435883317322767994e+02,1.331205944704005333e+02,-9.021370311929321692e-03,4.860747442870538748e+02,2.778806049019236779e-01,0.000000000000000000e+00,1.041810602484518000e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.671070807711952284e+02,1.663771713006956432e+01,-7.533077950565092787e-03,4.048951609399141489e+02,2.706777607217235593e-01,0.000000000000000000e+00,4.099064760469333102e+00,1.000000000000000000e+00
3.800000000000000000e+01,6.400672775543108628e+01,2.250782204074929282e+01,5.454333780515571023e-03,-2.915091153008493166e+02,3.956776102193790834e-01,0.000000000000000000e+00,1.430670988785121800e+01,1.000000000000000000e+00
3.800000000000000000e+01,9.121185380813189170e+01,9.396657140740813929e+01,-6.953876706025694833e-03,3.733023657832196704e+02,3.524410953124474943e-01,0.000000000000000000e+00,1.221338739160246689e+01,1.000000000000000000e+00
3.800000000000000000e+01,2.204829060747423455e+02,1.355131988837505901e+02,8.436736219776299825e-03,-4.541856119877981541e+02,2.503350057692276254e-01,0.000000000000000000e+00,2.042786753337603400e+01,1.000000000000000000e+00
3.900000000000000000e+01,4.447077092045358171e+01,3.104244950599485975e+01,-9.360490709736046799e-03,5.045722205310570985e+02,2.393478538552682444e-01,0.000000000000000000e+00,9.939770806749802290e+00,1.000000000000000000e+00
4.200000000000000000e+01,8.875271427236454258e+01,1.971036134494530145e+01,7.171838801703816005e-03,-3.851912073656626490e+02,2.504431353173042218e-01,0.000000000000000000e+00,9.790175176565522719e+00,1.000000000000000000e+00
4.300000000000000000e+01,2.233536263881219384e+02,9.722621770020811027e+01,-7.349698989103995751e-03,3.948926721329452221e+02,2.553248345651341067e-01,0.000000000000000000e+00,1.493738865958216877e+01,1.000000000000000000e+00
4.400000000000000000e+01,1.224169037903879627e+02,5.664823220438858442e+00,-8.258605732723207221e-03,4.444694036030840039e+02,2.334729316022653434e-01,0.000000000000000000e+00,8.879312063400019994e+00,1.000000000000000000e+00
4.400000000000000000e+01,9.469767912746695515e+01,1.193187030494037515e+01,-6.435447082293985384e-03,3.450243863069446206e+02,3.319568110567957531e-01,0.000000000000000000e+00,4.821996621291466667e+00,1.000000000000000000e+00
4.400000000000000000e+01,1.199939285753344791e+02,8.325071363490222609e+01,-1.004371733173452588e-02,5.418391271855196010e+02,3.157667512391569842e-01,0.000000000000000000e+00,8.710513317978653802e+00,1.000000000000000000e+00
4.400000000000000000e+01,3.719921670769729616e+01,1.064989106610149889e+02,-9.364741467558387183e-03,5.048040800486392641e+02,2.885057214946369353e-01,0.000000000000000000e+00,1.885406144221678915e+01,1.000000000000000000e+00
4.500000000000000000e+01,8.080972818218478437e+01,7.036016381869733038e+01,-8.031120985819883290e-03,4.320611446810844996e+02,2.869436714504868258e-01,0.000000000000000000e+00,1.454090034973007661e+01,1.000000000000000000e+00
4.900000000000000000e+01,6.180368752130790710e+01,9.979859645837032645e+01,6.287500743659644835e-03,-3.369545860177987606e+02,3.436027012405241665e-01,0.000000000000000000e+00,6.128946886209668321e+00,1.000000000000000000e+00
4.900000000000000000e+01,1.477399872359463586e+02,1.216834562794189196e+02,-8.688202765814129896e-03,4.679019690444070534e+02,2.758977361897126945e-01,0.000000000000000000e+00,2.662366636735366754e+01,1.000000000000000000e+00
4.900000000000000000e+01,9.261798824990341927e+01,1.275443162922504428e+02,-8.142878126401055516e-03,4.381569887127848233e+02,2.707279009403438241e-01,0.000000000000000000e+00,6.641234242507930041e+00,1.000000000000000000e+00
5.000000000000000000e+01,1.781518149472316566e+02,6.384426973722260357e+01,-9.032775235754287452e-03,4.866968310411429002e+02,2.796163971226762746e-01,0.000000000000000000e+00,1.536606273049106264e+01,1.000000000000000000e+00
5.300000000000000000e+01,1.158813662935891671e+02,9.419746881942181460e+01,-9.598183447266039892e-03,5.175372789417839385e+02,2.469973128126731199e-01,0.000000000000000000e+00,1.065882762420930874e+01,1.000000000000000000e+00
5.400000000000000000e+01,1.797283848710523557e+02,1.547859541220058759e+02,5.910108022168589735e-03,-3.163695284819230551e+02,2.752188945531323094e-01,0.000000000000000000e+00,4.252518408296690922e+00,1.000000000000000000e+00
5.800000000000000000e+01,1.537188299484568574e+02,3.887695510662470610e+01,-1.076515964127581181e-02,5.811905258877715141e+02,2.282672073442914007e-01,0.000000000000000000e+00,8.265605491543022154e+00,1.000000000000000000e+00
5.900000000000000000e+01,5.280514806349184909e+00,2.089771659233890233e+01,9.047312591571821105e-03,-4.874897777220992907e+02,2.176672468733116261e-01,0.000000000000000000e+00,1.408404311976714851e+01,1.000000000000000000e+00
6.100000000000000000e+01,6.863821549668254818e+01,8.709229484049373582e+01,-8.435034501769923462e-03,4.540927910056321366e+02,3.473840302841143535e-01,0.000000000000000000e+00,1.186181716412372644e+01,1.000000000000000000e+00
6.100000000000000000e+01,1.631664222516639029e+02,9.551451229349666505e+01,-7.785540167882703914e-03,4.186658273390565341e+02,3.821137514062208362e-01,0.000000000000000000e+00,8.037180630751166177e+00,1.000000000000000000e+00
6.200000000000000000e+01,1.589907022323542662e+02,4.988318655968090098e+01,-7.769011636199339883e-03,4.177642710654184839e+02,3.323812959499150566e-01,0.000000000000000000e+00,1.220367846905059928e+01,1.000000000000000000e+00
6.400000000000000000e+01,2.552836356812347773e+01,2.601645350936352941e+01,-9.143051580562952876e-03,4.927119043943428665e+02,2.091159087245276771e-01,0.000000000000000000e+00,1.634778467136210978e+01,1.000000000000000000e+00
6.700000000000000000e+01,9.165037113683949599e+01,1.414217861500774376e+01,-7.124572247086855339e-03,3.826130316592829672e+02,3.698110034225814413e-01,0.000000000000000000e+00,1.869866183267717119e+01,1.000000000000000000e+00
6.700000000000000000e+01,1.072871308242010002e+02,1.374144562832786676e+02,-7.791868828670752214e-03,4.190110270184046612e+02,3.225773431592355855e-01,0.000000000000000000e+00,1.507659372683976429e+01,1.000000000000000000e+00
7.000000000000000000e+01,6.984544644492912369e+01,1.426137430658903895e+02,-6.929341471696473867e-03,3.719640802743530799e+02,3.931239963922409375e-01,0.000000000000000000e+00,4.344932192657083192e+00,1.000000000000000000e+00
7.000000000000000000e+01,7.378220335787078454e+01,1.591271373409946079e+02,4.621349129070026658e-03,-2.460735888583650706e+02,4.201161710773392288e-01,0.000000000000000000e+00,1.369462509348916335e+01,1.000000000000000000e+00
7.200000000000000000e+01,1.982811567861712660e+02,1.202352535097162018e+02,-8.517063117484000023e-03,4.585670791354908715e+02,2.004660154958328722e-01,0.000000000000000000e+00,1.213017658497651929e+01,1.000000000000000000e+00
7.300000000000000000e+01,1.270522246835510600e+02,3.953105039625126693e+01,-8.799860996034135005e-03,4.739924179654982481e+02,2.809297175082970943e-01,0.000000000000000000e+00,9.412451702833095624e+00,1.000000000000000000e+00
7.300000000000000000e+01,1.806164022398969848e+01,1.393225810280144401e+02,-7.226151257583555282e-03,3.881537049591029813e+02,2.966390420088667046e-01,0.000000000000000000e+00,8.127685640718548044e+00,1.000000000000000000e+00
7.400000000000000000e+01,1.155742756040627768e+02,4.475323351217542012e+01,4.753814489265793114e-03,-2.532989721417704914e+02,4.053837850227399731e-01,0.000000000000000000e+00,3.283313963636094179e+00,1.000000000000000000e+00
7.400000000000000000e+01,1.764569468360883775e+02,6.230790842860398726e+01,-7.924420150737651256e-03,4.262410991311446082e+02,2.659127087497112907e-01,0.000000000000000000e+00,1.093222702620437836e+01,1.000000000000000000e+00
7.700000000000000000e+01,1.123504831038886635e+02,9.739882989167124094e+01,6.132247979242569369e-03,-3.284862534132309975e+02,3.527029551472801172e-01,0.000000000000000000e+00,1.558503378436645725e+01,1.000000000000000000e+00
7.700000000000000000e+01,1.532526251874433854e+02,1.288096592527673465e+02,5.617813983664694984e-03,-3.004262172908015032e+02,3.740311365222123152e-01,0.000000000000000000e+00,1.025863915880877109e+01,1.000000000000000000e+00
7.800000000000000000e+01,3.495850207018810352e+01,8.024200365343887142e+01,7.974626183810390803e-03,-4.289796100260213052e+02,3.271876076238704467e-01,0.000000000000000000e+00,1.172453151497821544e+01,1.000000000000000000e+00
8.100000000000000000e+01,5.739951655211262960e+01,5.560468423835422414e+01,-7.378730513329380750e-03,3.964762098179662075e+02,3.221675667996779513e-01,0.000000000000000000e+00,2.114283142284027406e+01,1.000000000000000000e+00
8.200000000000000000e+01,9.962500806835262779e+01,1.236768726413922934e+02,-1.294853563835457119e-02,7.002837620920674908e+02,1.113419143076077589e-01,0.000000000000000000e+00,9.047723258062546847e+00,1.000000000000000000e+00
8.200000000000000000e+01,1.624032510005631025e+02,1.377066079335243387e+02,-8.458423023778961075e-03,4.553685285697615086e+02,2.096602985128047658e-01,0.000000000000000000e+00,9.845801320317086436e+00,1.000000000000000000e+00
8.300000000000000000e+01,6.403595325959187790e+01,1.229924289019099461e+02,8.024863056837644101e-03,-4.317198031002350831e+02,2.609388114100757994e-01,0.000000000000000000e+00,8.346018692096919267e+00,1.000000000000000000e+00
8.500000000000000000e+01,2.073532017441328037e+02,3.211872463456101201e+01,5.986026150538082194e-03,-3.205105173020771758e+02,3.044688531677942622e-01,0.000000000000000000e+00,7.920816438252470171e+00,1.000000000000000000e+00
8.700000000000000000e+01,5.610618341772931217e+01,1.628012389650718461e+01,7.589876418100973722e-03,-4.079932591691439825e+02,3.178076040919601830e-01,0.000000000000000000e+00,1.734666300571475972e+01,1.000000000000000000e+00
8.800000000000000000e+01,7.392085356422758480e+01,5.977826305568731158e+01,-8.494074920460758724e-03,4.573131774796777336e+02,2.897990609746727841e-01,0.000000000000000000e+00,2.160909396116568715e+01,1.000000000000000000e+00
9.100000000000000000e+01,1.070763822598231059e+02,2.434703994876436184e+01,6.225821568658507742e-03,-3.335902673813731099e+02,3.606075043155471116e-01,0.000000000000000000e+00,5.949560849589505374e+00,1.000000000000000000e+00
9.100000000000000000e+01,1.949072022524175338e+02,8.844159467075506598e+01,7.268687197494130663e-03,-3.904738471360434460e+02,3.395790035317808320e-01,0.000000000000000000e+00,9.237961113102542754e+00,1.000000000000000000e+00
9.200000000000000000e+01,2.103106132578238032e+02,4.794590733792595927e+01,-8.298075135937731800e-03,4.466222801420580595e+02,2.449694742822464688e-01,0.000000000000000000e+00,7.632298998556228398e+00,1.000000000000000000e+00
9.300000000000000000e+01,4.292895263947163897e+01,9.105240384429139056e+01,1.033287096736072025e-02,-5.576111436742211254e+02,2.188731198717674964e-01,0.000000000000000000e+00,4.413982927218538244e+00,1.000000000000000000e+00
9.400000000000000000e+01,6.654901751016573996e+01,2.380982994606114644e+01,-6.696578672138380449e-03,3.592679275711843729e+02,3.548761134831844855e-01,0.000000000000000000e+00,4.512605849534519820e+00,1.000000000000000000e+00
9.400000000000000000e+01,2.157708596785390114e+02,7.742009322058441967e+01,-7.625668463206045945e-03,4.099455525385115493e+02,3.143162131509619206e-01,0.000000000000000000e+00,2.171172822079154230e+01,1.000000000000000000e+00
9.600000000000000000e+01,7.896268056952355607e+01,8.731270583536857544e+01,8.334171421305396413e-03,-4.485911684348398012e+02,2.761322111228130538e-01,0.000000000000000000e+00,9.831911665494969199e+00,1.000000000000000000e+00
9.600000000000000000e+01,1.530628529739608723e+02,4.556611219561730053e+01,-7.946726735619540419e-03,4.274578219428839816e+02,3.196130052958280343e-01,0.000000000000000000e+00,1.378999929598000485e+01,1.000000000000000000e+00
1.000000000000000000e+02,1.814546497177896924e+02,1.281191250228669105e+02,-7.125692720484513507e-03,3.826741483900643175e+02,2.617322685503373769e-01,0.000000000000000000e+00,8.670051339801725376e+00,1.000000000000000000e+00
1.020000000000000000e+02,2.122667467026658983e+02,8.938855513136145703e+01,-9.598274938491000580e-03,5.175422693722363192e+02,2.783947846239224200e-01,0.000000000000000000e+00,8.465425029139179713e+00,1.000000000000000000e+00
1.030000000000000000e+02,6.774164439581760178e+01,2.479910744217185226e+01,4.761601682121404354e-03,-2.537237281157129303e+02,3.676116797763632205e-01,0.000000000000000000e+00,1.544670479057327483e+01,1.000000000000000000e+00
1.030000000000000000e+02,3.626510889928014336e+01,9.627820049304038719e+01,7.453962704100905792e-03,-4.005797838600493606e+02,3.683012810197220377e-01,0.000000000000000000e+00,6.939074490051379662e+00,1.000000000000000000e+00
