frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,1.351092214565399559e+02,9.051778826342790296e+00,-6.956103885387997232e-03,3.820018813295932318e+02,1.902514720289255612e-01,0.000000000000000000e+00,7.322985995748954480e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.050183627488293610e+02,8.310965432646258932e+01,-7.569467639796587100e-03,4.157096365274405798e+02,2.317192423076167573e-01,0.000000000000000000e+00,6.015578395210533280e+00,1.000000000000000000e+00
1.000000000000000000e+01,2.055886599007821189e+02,1.202888700857653390e+02,-9.755674863280173678e-03,5.358539022609199947e+02,1.141191903086072879e-01,0.000000000000000000e+00,5.304392250127483166e+00,1.000000000000000000e+00
1.000000000000000000e+01,2.209524394160236795e+02,1.255031226458131641e+02,-9.651712031960633584e-03,5.301405655294838652e+02,1.009530824579699670e-01,0.000000000000000000e+00,8.291018303078189433e+00,1.000000000000000000e+00
1.000000000000000000e+01,9.420425932758955412e+01,8.228739907849792701e+01,-5.505851688761404655e-03,3.023024441397244573e+02,2.929024390789337629e-01,0.000000000000000000e+00,9.609928062088991751e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.529300064142754820e+02,9.866704430034387485e+01,-9.067091858863660092e-03,4.980124302478729987e+02,2.627865624077064810e-01,0.000000000000000000e+00,5.567661756405147599e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.102383566522246099e+02,1.537585482069123088e+02,-5.077085793766573582e-03,2.787393696642737382e+02,2.807438571414145878e-01,0.000000000000000000e+00,7.462936045638620008e+00,1.000000000000000000e+00
1.100000000000000000e+01,2.199195733123758885e+02,6.540064038788842993e+01,-6.824697886201731151e-03,3.747803896449891567e+02,1.690740761622483435e-01,0.000000000000000000e+00,1.180724000478598512e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.731901876556123909e+01,1.111720960015608028e+02,-7.958935647089909748e-03,4.371130731551802455e+02,1.661866735439934128e-01,0.000000000000000000e+00,7.868207815576539588e+00,1.000000000000000000e+00
1.100000000000000000e+01,9.254075291243169943e+01,1.122363319978804412e+02,-7.161117463646358983e-03,3.932685195332653620e+02,1.454113882095550148e-01,0.000000000000000000e+00,1.180188046348348152e+01,1.000000000000000000e+00
