frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,1.830296384109148562e+02,1.406014117687997782e+02,-6.099590293515182865e-03,3.347913034664499605e+02,9.452454153280420712e-02,0.000000000000000000e+00,1.061468613565888219e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.764087329858361102e+02,6.045620418018218345e+01,-1.114137155121138097e-02,6.159003278206623690e+02,4.218037797829554680e-02,0.000000000000000000e+00,1.379434788199991502e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.011707617312702894e+02,8.547281423863785221e+01,-5.429965580150591768e-03,2.974557785326683188e+02,1.215556422722748886e-01,0.000000000000000000e+00,6.854681824365282949e+00,1.000000000000000000e+00
1.000000000000000000e+01,3.266594566514167752e+01,1.527071468496883142e+02,-2.641750429624019954e-03,1.419963485033088375e+02,3.303479301955893899e-01,0.000000000000000000e+00,2.481230174250842069e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.001991631164315777e+01,5.921160190430538961e+01,-6.034426582253990534e-03,3.311580424502225810e+02,1.114309465305376445e-01,0.000000000000000000e+00,1.092182368603642928e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.868259147194858372e+02,1.565493756875607119e+02,-5.315541745956733032e-03,2.910759752946750609e+02,1.762463212521182543e-01,0.000000000000000000e+00,1.639357395338545231e+01,1.000000000000000000e+00
1.200000000000000000e+01,7.088701544313224190e+01,6.613795165648909347e+01,-6.618679713608729108e-03,3.637335984564090836e+02,5.629424226398105358e-02,0.000000000000000000e+00,1.282906947716174173e+01,1.000000000000000000e+00
1.300000000000000000e+01,2.725236380887688270e+01,1.619241744734524246e+01,-5.835374957955117084e-03,3.200597410676779191e+02,9.303388702757886541e-02,0.000000000000000000e+00,1.466408757616788172e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.379789192256562558e+02,1.345211161076616335e+01,-7.082720220676530683e-03,3.896065920543641710e+02,8.147736663486815356e-02,0.000000000000000000e+00,1.410010373369804526e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.808761342029829962e+02,7.350711831884197522e+01,-3.036612602288615848e-03,1.640122421803085047e+02,2.486942932392108840e-01,0.000000000000000000e+00,1.379434788199991502e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.658174674503269728e+02,1.401321888802658293e+02,-7.287273152775227726e-03,4.010116237747076298e+02,7.691970500473466199e-02,0.000000000000000000e+00,1.721856554117180238e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.128351046955486510e+02,2.699885098303605346e+01,-5.835799439970952053e-03,3.200834084422085084e+02,2.705335057661796272e-01,0.000000000000000000e+00,6.296354404851700615e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.181057443244231280e+02,2.355437182153233877e+01,-7.148405189776806286e-03,3.932689162677221475e+02,1.640897606158147060e-01,0.000000000000000000e+00,6.296354404851700615e+00,1.000000000000000000e+00
