,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,3.0,43.0,2918.6823148451176,4535.983215061967,8042.236889109647,43.0,1,3,2
1,8.0,43.0,1995.2810904750681,6847.103959202868,8331.118392550967,43.0,1,8,2
2,9.0,37.0,2532.0168972349875,3446.8627355174476,7356.131846729466,37.0,1,9,2
3,10.0,40.0,2645.852963473472,4330.399148686729,6546.966172784871,40.0,1,10,2
4,11.0,37.0,2102.1073798910647,3709.8933767186127,9005.758116450108,37.0,1,11,2
5,15.0,31.0,2200.408515230932,2921.5107824685747,9327.157186505003,31.0,1,15,2
6,16.0,36.0,1956.4156890516697,4692.704980388715,8493.9641510623,36.0,1,16,2
7,18.0,37.0,2091.5031711593824,4935.522950327239,8181.122941589305,37.0,1,18,2
8,19.0,35.0,2432.7566106239065,4235.757201141487,8373.685263127576,35.0,1,19,2
9,21.0,34.0,1905.8658478325874,3432.3033758468537,8157.565751914315,34.0,1,21,2
10,22.0,34.0,2685.133766656108,3128.530141363289,8337.9064364064,34.0,1,22,2
11,26.0,35.0,1994.5658295685785,3352.0562332244886,6532.169138322317,35.0,1,26,2
12,27.0,27.0,1872.45932381098,2416.3906112890186,10406.190767971972,27.0,1,27,2
13,29.0,28.0,2095.7788388914823,2541.2232592723403,8870.721209133877,28.0,1,29,2
14,31.0,31.0,3842.511263422336,3353.741321858203,6773.192486009872,31.0,1,31,2
15,33.0,27.0,1840.885721731861,2593.4277496699688,8984.570370075457,27.0,1,33,2
16,34.0,26.0,2015.31674994479,2135.1466340901925,9954.688364851056,26.0,1,34,2
17,37.0,22.0,2015.2205052575284,2230.8926918189222,9530.458294362621,22.0,1,37,2
18,39.0,19.0,2053.6245550420863,1544.8347896033688,11100.496248553698,19.0,1,39,2
19,40.0,20.0,2044.1714899192243,1601.2846583329824,10687.333798455047,20.0,1,40,2
20,41.0,23.0,1874.322601336983,1808.659527735912,7689.825108314555,23.0,1,41,2
21,42.0,20.0,1904.7925867083463,1690.8091971100482,10502.776296573618,20.0,1,42,2
22,45.0,22.0,2153.708426382648,2316.396395423836,12269.28026281282,22.0,1,45,2
23,46.0,15.0,2108.859082336947,1033.0061813820948,9423.52843925507,15.0,1,46,2
24,47.0,19.0,2280.8949921491903,2003.1085873658044,8640.438927114179,19.0,1,47,2
25,48.0,17.0,3582.4751800279,1369.768509773586,10273.0053509841,17.0,1,48,2
26,49.0,17.0,2309.2001775484714,1185.0207862617874,10179.735259424939,17.0,1,49,2
27,50.0,17.0,1901.9119454546667,1171.4144195858848,12756.899511269643,17.0,1,50,2
28,51.0,13.0,2034.916987438057,959.5645004992296,12394.580761487752,13.0,1,51,2
29,52.0,13.0,2297.599574601104,585.6298383741012,9960.248343737174,13.0,1,52,2
30,53.0,13.0,2391.0248104396587,1328.4799881584486,13797.960230792338,13.0,1,53,2
31,55.0,11.0,2424.52394593972,624.042211119187,13066.500898590511,11.0,1,55,2
32,56.0,11.0,2070.5052888616574,742.9527615643018,10744.244641274889,11.0,1,56,2
33,57.0,10.0,2941.977724895644,313.7399896444657,11925.645935318656,10.0,1,57,2
34,58.0,10.0,2319.0804236753866,575.3433726348894,9938.314906494048,10.0,1,58,2
35,59.0,8.0,2178.5197804952745,98.5993604206014,12158.044385014939,8.0,1,59,2
36,60.0,9.0,3042.325584695486,506.13039757078843,9872.143280150147,9.0,1,60,2
37,61.0,9.0,2375.2090015073454,462.3627995625146,11452.80303108475,9.0,1,61,2
38,62.0,8.0,2932.6011636937874,373.5846307958363,13927.37691600401,8.0,1,62,2
39,63.0,6.0,2399.1260357789643,121.3410868003685,12826.514792015107,6.0,1,63,2
40,64.0,6.0,2840.797961956531,184.21383407106293,13037.831583021569,6.0,1,64,2
41,65.0,6.0,2938.7545567059715,159.96261385745538,12386.775214644877,6.0,1,65,2
