,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,1.0,40.0,1326.4687945035155,3557.8528979015546,6557.890593856523,40.0,1,1,1
1,2.0,39.0,1930.6681243292421,3718.0074826868836,6242.147149046453,39.0,1,2,1
2,3.0,35.0,3744.3788580176433,4523.621932198778,8142.194612417667,35.0,1,3,1
3,5.0,44.0,2084.0727117554884,5192.807067683903,6845.406309062898,44.0,1,5,1
4,6.0,46.0,1241.5369203413022,5379.34748045213,3757.313280677583,46.0,1,6,1
5,8.0,49.0,2095.767168699602,6441.896115822793,5114.202767889846,49.0,1,8,1
6,9.0,48.0,2431.6201035755876,7118.247867473672,4698.105726058643,48.0,1,9,1
7,11.0,48.0,2026.426720756155,6433.07520636213,4860.419327888723,48.0,1,11,1
8,12.0,51.0,2502.4232060760214,6081.370737828037,4638.427028784228,51.0,1,12,1
9,13.0,47.0,1745.1697777807817,6835.933125198265,4583.482730790035,47.0,1,13,1
10,14.0,52.0,2458.07019280984,6067.0579065769125,5914.374351098817,52.0,1,14,1
11,15.0,54.0,2387.341077987988,6482.772831139482,4857.323978863219,54.0,1,15,1
12,17.0,55.0,2071.312466472845,7945.864275079977,4328.433507828251,55.0,1,17,1
13,18.0,57.0,1761.705111162949,9552.95640058552,3546.5362389373986,57.0,1,18,1
14,20.0,59.0,2623.1630640779936,6887.2550833153655,3968.396237366541,59.0,1,20,1
15,21.0,59.0,2166.049224710091,7393.435642810786,3249.1734181180827,59.0,1,21,1
16,22.0,63.0,2168.551825268147,9787.560650861347,2507.063989954984,63.0,1,22,1
17,23.0,63.0,2595.0986728008884,10347.52545270213,4879.726577544952,63.0,1,23,1
18,24.0,61.0,2935.692172004105,8173.7614697578865,3530.326782010101,61.0,1,24,1
19,25.0,64.0,2639.979847539811,6931.307706224194,3088.667576615464,64.0,1,25,1
20,26.0,64.0,2104.7266184287305,9340.179012443847,2693.9753511803183,64.0,1,26,1
21,27.0,65.0,2233.7496005198327,10702.083918087032,2627.8722743045664,65.0,1,27,1
22,28.0,69.0,3461.712787441267,8307.41775973088,2012.1691459903973,69.0,1,28,1
23,29.0,71.0,3889.268670853037,9329.106626394369,1958.3352661239578,71.0,1,29,1
24,30.0,72.0,4104.685463668729,8021.769510742939,2470.6631348050228,72.0,1,30,1
