,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,1.0,9.0,1828.435914067265,751.8827119609956,4493.473487561198,9.0,1,1,1
1,2.0,11.0,4716.242254220158,1148.9702023957148,5833.711128124397,11.0,1,2,1
2,3.0,12.0,4932.476036074492,2183.376981943465,8189.660972717404,12.0,1,3,1
3,4.0,11.0,4325.678908325306,1663.9892934495438,6215.4921503384385,11.0,1,4,1
4,6.0,12.0,2991.2899226345903,1929.2781477862327,5575.1773004935985,12.0,1,6,1
5,7.0,13.0,3267.7584837747195,1777.251261630271,4656.443885250383,13.0,1,7,1
6,8.0,13.0,2680.6211621385364,1893.280384579818,8649.435589567693,13.0,1,8,1
7,9.0,15.0,2422.8505795849937,1162.3377252487467,4219.257511387703,15.0,1,9,1
8,10.0,22.0,2367.526740947331,3094.560642813605,2674.238502707902,22.0,1,10,1
9,11.0,16.0,3506.3875448328017,3488.5463870822496,4090.364795114121,16.0,1,11,1
10,12.0,7.0,1422.2433329452392,163.75748004902707,7335.361105438388,7.0,1,12,1
11,13.0,16.0,1957.2491230531093,1898.8468666690728,4475.565428634981,16.0,1,13,1
12,14.0,21.0,4490.017933820443,4280.557248924845,4534.045578838759,21.0,1,14,1
13,15.0,21.0,2869.9885249684166,2215.6235095373986,5896.844099765781,21.0,1,15,1
14,16.0,21.0,2265.3706149264062,2584.927802794846,3315.1563991642847,21.0,1,16,1
15,17.0,23.0,1993.8189784022936,2067.698062798031,2325.029373544063,23.0,1,17,1
16,19.0,18.0,2465.9345529132866,2883.003283545958,2832.8416410662408,18.0,1,19,1
17,20.0,24.0,2445.235257206313,4574.756106966744,3269.9421285838375,24.0,1,20,1
18,21.0,27.0,2187.3256688356487,3953.0599561864274,2623.943618887218,27.0,1,21,1
19,22.0,28.0,2615.4452768420733,4355.637130308823,2683.091267623922,28.0,1,22,1
20,23.0,28.0,2995.1902365532223,4696.7574428958715,3463.722681745327,28.0,1,23,1
21,24.0,29.0,2740.4939805061636,6450.473738056968,2831.2984589254825,29.0,1,24,1
22,25.0,36.0,2246.2281636515636,5391.763948074394,1934.1388544649053,36.0,1,25,1
23,26.0,32.0,2914.1513870825984,3376.6500235983995,1528.7606549723187,32.0,1,26,1
24,27.0,35.0,3560.135979147405,5737.256490103695,1654.4240929326875,35.0,1,27,1
25,28.0,36.0,2808.836936460805,5511.68681143268,1161.7996360704965,36.0,1,28,1
26,29.0,34.0,2706.0020182588923,5486.413672831026,1297.2792767313992,34.0,1,29,1
27,30.0,37.0,4853.6016154004465,6708.891623238536,1486.5654949712275,37.0,1,30,1
28,31.0,37.0,4000.477694076607,6523.698181765634,1390.3544778562223,37.0,1,31,1
29,32.0,38.0,4840.306431144128,5414.1500128448015,1255.2935241028536,38.0,1,32,1
30,33.0,38.0,3214.965258989563,8155.397579016165,910.5852738288097,38.0,1,33,1
31,34.0,38.0,5443.5805327683665,6748.016143649363,1615.05901997084,38.0,1,34,1
32,35.0,39.0,4244.764908701934,4833.122589807646,1033.6336702744516,39.0,1,35,1
33,36.0,37.0,4224.711140232471,8672.041059739298,1565.529662451948,37.0,1,36,1
34,37.0,39.0,4546.134590031281,5475.103366893822,560.5725442110058,39.0,1,37,1
35,38.0,39.0,4393.669713909019,6451.832260883303,1059.519734940474,39.0,1,38,1
36,39.0,41.0,4206.869003891411,8967.630553490508,837.5533527693698,41.0,1,39,1
37,40.0,41.0,5928.946824230778,5866.270331678276,512.4078521053922,41.0,1,40,1
38,41.0,40.0,3882.4509715855634,6928.609287544359,921.5068814274019,40.0,1,41,1
