,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,8.0,39.0,1372.2292544429758,4089.0680620787825,4655.553013428126,39.0,1,8,1
1,9.0,35.0,3050.835432298766,4912.967313404228,3741.884301057684,35.0,1,9,1
2,10.0,36.0,3741.73101802591,3452.7095035622833,7901.447148273348,36.0,1,10,1
3,13.0,33.0,6317.213991150178,6537.050893798597,7563.707823618603,33.0,1,13,1
4,15.0,36.0,2178.990539119134,4695.643189568279,7949.084951191869,36.0,1,15,1
5,16.0,33.0,5253.788440864384,4620.3904799342845,5683.198904245968,33.0,1,16,1
6,17.0,33.0,3823.9294811918708,3023.521281347449,10801.990820112474,33.0,1,17,1
7,18.0,31.0,3718.9832094541375,1778.3815445269881,5970.922676420486,31.0,1,18,1
8,20.0,28.0,3102.613956636317,3650.9222615775916,8969.580956836438,28.0,1,20,1
9,21.0,32.0,4464.122712954673,5416.851415447928,6234.779843777635,32.0,1,21,1
10,22.0,28.0,3524.4416019318865,2723.1820906831304,6589.621413124731,28.0,1,22,1
11,23.0,27.0,3320.384392714409,3615.1884395838065,11701.94723891553,27.0,1,23,1
12,24.0,33.0,8479.371442076552,10871.073883233372,10058.793349209987,33.0,1,24,1
13,26.0,31.0,3837.667557452418,3366.0361091062327,11921.747945404706,31.0,1,26,1
14,27.0,26.0,5180.8139789690285,3658.783715269469,10418.5924263019,26.0,1,27,1
15,28.0,27.0,4357.628152645968,3256.4552574120744,15271.875995547523,27.0,1,28,1
16,29.0,25.0,5214.52807074233,3245.0423819801867,11911.92419085683,25.0,1,29,1
17,30.0,24.0,4891.484187325692,1754.4459139517123,13549.305490463039,24.0,1,30,1
18,31.0,24.0,5041.047957763368,2115.596400449995,10169.965433816282,24.0,1,31,1
19,32.0,26.0,5750.3920178670505,3719.0348152821157,11379.27006725735,26.0,1,32,1
20,33.0,17.0,3933.461985882579,3638.874604425384,15551.988292054515,17.0,1,33,1
21,34.0,21.0,3792.7294527946733,2529.0067505555667,10397.56978812995,21.0,1,34,1
22,35.0,20.0,4884.739888244929,2466.2869050859017,21019.463418716867,20.0,1,35,1
23,36.0,18.0,4110.343036051863,2576.7140916627372,15594.366774712578,18.0,1,36,1
24,37.0,22.0,4854.888736334117,1686.5364523952662,22455.560012066726,22.0,1,37,1
25,38.0,19.0,4947.9652489682085,2629.390324460186,16885.36151759131,19.0,1,38,1
26,39.0,20.0,7491.390563490995,6185.931412354405,12963.17645852569,20.0,1,39,1
27,40.0,19.0,5453.274762246147,1278.7840599306237,12832.456446444075,19.0,1,40,1
28,41.0,17.0,3798.3345274287403,1210.8778830456354,14253.061096021063,17.0,1,41,1
29,42.0,17.0,5360.837999714335,3316.258293303135,15127.147838537783,17.0,1,42,1
30,43.0,18.0,3906.0504699531302,1173.0278487311175,15834.31166331457,18.0,1,43,1
31,44.0,16.0,5043.94962823125,1224.05972492135,10690.093507767626,16.0,1,44,1
32,45.0,17.0,4177.453922668059,2281.4230819391487,13260.949085785038,17.0,1,45,1
33,46.0,18.0,5189.657510982526,1286.54976908544,10747.89037142947,18.0,1,46,1
34,47.0,16.0,3697.1744078335055,411.67678475664786,9727.578681290648,16.0,1,47,1
35,48.0,15.0,3655.429534655551,909.3947630379118,11586.375138268659,15.0,1,48,1
36,49.0,12.0,5422.758296223553,1618.1256305152895,10545.350222368097,12.0,1,49,1
37,50.0,10.0,2891.6005070525885,741.7258408622919,11945.146991801694,10.0,1,50,1
38,51.0,9.0,3804.1814665715983,142.8789748373418,12826.622736341791,9.0,1,51,1
39,52.0,8.0,3290.0400216046164,605.9412136968833,15783.784336528817,8.0,1,52,1
