,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,0.0,14.0,3550.7543037250502,1725.9839122099897,11138.77750049066,14.0,1,0,1
1,1.0,16.0,3199.1797832088782,3357.3736197721987,7346.964889706292,16.0,1,1,1
2,2.0,14.0,3079.6112514733395,1583.4542981466323,12426.378775237097,14.0,1,2,1
3,3.0,15.0,4389.531386110271,1344.4030237909994,14703.59571257211,15.0,1,3,1
4,4.0,16.0,4473.246298098415,2037.5897160690754,17159.782699812764,16.0,1,4,1
5,5.0,17.0,5181.441341740638,2283.2232571911927,10868.391866787802,17.0,1,5,1
6,6.0,17.0,3432.025381857725,1485.688467723947,9976.318229876377,17.0,1,6,1
7,7.0,18.0,5001.547962229466,2984.6216851329727,12130.175970675555,18.0,1,7,1
8,8.0,18.0,6528.151297529645,2568.778125136107,8122.827353181841,18.0,1,8,1
9,9.0,22.0,3551.8784440549703,3547.1237018999154,8556.343339367884,22.0,1,9,1
10,10.0,24.0,4218.666011182978,2251.5827818340467,12713.553273979769,24.0,1,10,1
11,11.0,25.0,3093.8776704799875,6410.026911735784,9310.267457644743,25.0,1,11,1
12,12.0,23.0,3141.896913332447,2449.760072992278,9612.994483207674,23.0,1,12,1
13,13.0,26.0,4952.92135393822,5481.9735614314895,10459.7227386991,26.0,1,13,1
14,14.0,27.0,3922.493127652584,1703.005923127731,12418.08299900554,27.0,1,14,1
15,15.0,26.0,3904.806555495767,4248.358918221435,8855.728860133348,26.0,1,15,1
16,16.0,21.0,2798.829759671639,1315.574138711523,8903.884267709716,21.0,1,16,1
17,17.0,28.0,3505.3533734840676,3581.4940473871925,11162.830833808162,28.0,1,17,1
18,18.0,31.0,5508.299218124279,5275.605668630615,9388.684476666836,31.0,1,18,1
19,20.0,28.0,5104.942706455224,3973.5856750734074,9745.046376070572,28.0,1,20,1
20,21.0,29.0,2184.28385824157,4496.787673645413,9225.315520792756,29.0,1,21,1
21,22.0,32.0,2105.9524031883134,3105.962649393269,7415.08401746872,32.0,1,22,1
22,23.0,31.0,4794.05633982212,7117.415332656879,6100.936423789962,31.0,1,23,1
23,24.0,33.0,3727.9972652510332,5313.704498697794,6264.972557876015,33.0,1,24,1
24,25.0,30.0,2530.170800109622,2976.0027922319878,6223.173702974663,30.0,1,25,1
25,26.0,32.0,3055.095110372239,3386.724397604542,9312.384229709001,32.0,1,26,1
26,27.0,35.0,3093.0590768213374,5345.330857334564,8480.354708186665,35.0,1,27,1
27,28.0,36.0,3813.4126731448832,4645.3717134813405,13944.813082177048,36.0,1,28,1
28,30.0,29.0,1864.970751125954,2861.4124281827035,6451.303070947382,29.0,1,30,1
29,31.0,38.0,2366.497357434682,4357.003863961419,6154.378953300673,38.0,1,31,1
30,33.0,41.0,2786.4578666202488,5456.547054396169,5052.951689337633,41.0,1,33,1
31,34.0,49.0,5256.960021554077,8120.596945594281,4989.437709092106,49.0,1,34,1
32,35.0,48.0,5400.013397714738,10667.150409861342,5236.722015882185,48.0,1,35,1
